factor_name,monotonicity_score,Q1,Q2,Q3,Q4,Q5
MIN_RATIO_30,-0.7,0.013129,0.011188,0.008344,0.008043,0.010357
MA_RATIO_30,-0.3,0.014029,0.008989,0.006641,0.007574,0.013793
ROC60,-0.1,0.014365,0.007969,0.00665,0.008261,0.013343
MAX_RATIO_60,0.1,0.011519,0.009494,0.006522,0.009167,0.013883
MIN_RATIO_60,-0.6,0.013922,0.011388,0.007326,0.008569,0.009426
MA_RATIO_60,0.0,0.013838,0.009507,0.006506,0.006461,0.014282
ROC120,-0.1,0.01452,0.008537,0.00655,0.009332,0.01343
MAX_RATIO_120,0.1,0.012867,0.010167,0.006239,0.00747,0.015549
MIN_RATIO_120,-0.6,0.014764,0.013172,0.007336,0.007628,0.009463
MA_RATIO_120,-0.4,0.015287,0.008553,0.006842,0.006529,0.015105
