factor_name,abs_rank_ic,rank_ic,rank_ic_ir,monotonicity,sign_stability,net_sharpe,turnover,missing_ratio,coverage_ratio,is_redundant,recommended_direction,selection_score
ROC60,0.0261,-0.0261,0.9494,0.1,1.0,1.666,0.1038,0.0515,0.9485,1.0,-1,0.7258
MA_RATIO_120,0.0228,0.0228,0.7644,0.4,0.8,2.3853,0.0831,0.1022,0.8978,1.0,1,0.4424
MIN_RATIO_60,0.0173,0.0173,0.6645,0.6,1.0,1.007,0.1223,0.0507,0.9493,1.0,1,0.1804
MIN_RATIO_120,0.0138,0.0138,0.4718,0.6,1.0,1.9383,0.0849,0.1022,0.8978,0.0,1,0.0925
ROC120,0.0199,-0.0199,0.6555,0.1,0.8,2.5911,0.0773,0.103,0.897,1.0,-1,0.0771
MIN_RATIO_30,0.0133,0.0133,0.544,0.7,1.0,1.6916,0.1782,0.0249,0.9751,1.0,1,0.032
MA_RATIO_60,0.0195,0.0195,0.7145,0.0,0.8,1.9252,0.1161,0.0507,0.9493,1.0,1,-0.0506
MA_RATIO_30,0.0118,0.0118,0.474,0.3,0.8,2.4431,0.1636,0.0249,0.9751,1.0,1,-0.3903
MAX_RATIO_60,0.0078,0.0078,0.3134,0.1,0.8,2.1855,0.1078,0.0507,0.9493,1.0,1,-0.8562
MAX_RATIO_120,0.0065,0.0065,0.2411,0.1,0.6,2.6483,0.0781,0.1022,0.8978,1.0,1,-1.1531
