factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
ROC60,USEFUL,USEFUL,0.7258,-1,20D,-0.0261,0.0975,-0.2675,-0.9494,-8.8952,-2.6537,0.0,0.008076,0.057686,0.396,-0.0064,0.1085,-0.059,-0.2093,0.5145,-1.9613,-0.5863,0.050096,0.557763,0.057686,-0.1,0.5653,0.002105,0.001949,1.666,-0.65,0.5387,0.5574,0.7388,0.1038,0.4476,1.7377,1.0,0.5519,1.0,VALID,-0.0041,-0.0467,-0.0249,0.9485,0.0515,3
MA_RATIO_120,REJECT,REJECT,0.4424,1,20D,0.0228,0.106,0.2153,0.7644,6.9681,2.0129,0.0,0.044382,0.141509,0.575,0.0066,0.1189,0.0552,0.196,0.4785,1.7863,0.5157,0.074343,0.606207,0.141509,-0.4,0.9165,0.002874,0.002749,2.3853,-0.4446,0.5422,0.5831,0.5449,0.0831,0.636,2.3728,1.0,0.5415,0.8,VALID,-0.0057,0.0521,0.0222,0.8978,0.1022,3
MIN_RATIO_60,WEAK,WEAK,0.1804,1,20D,0.0173,0.0926,0.1872,0.6645,6.2284,1.8361,0.0,0.06661,0.16268,0.57,-0.0127,0.1053,-0.1204,-0.4275,0.4408,-4.0073,-1.1785,6.6e-05,0.238837,0.16268,-0.6,0.2655,0.001261,0.001078,1.007,-0.6382,0.5187,0.3365,0.4682,0.1223,0.133,0.6114,1.0,0.5612,1.0,VALID,-0.0083,0.0293,0.0227,0.9493,0.0507,1
MIN_RATIO_120,REJECT,REJECT,0.0925,1,20D,0.0138,0.1035,0.1329,0.4718,4.3011,1.2551,1.9e-05,0.209715,0.283399,0.531,-0.0151,0.1178,-0.1283,-0.4553,0.4059,-4.1499,-1.2024,3.6e-05,0.22949,0.283399,-0.6,0.6163,0.002172,0.002045,1.9383,-0.464,0.5366,0.279,0.1948,0.0849,0.3646,1.5576,1.0,0.5424,1.0,VALID,-0.0085,0.0279,0.0176,0.8978,0.1022,0
ROC120,REJECT,REJECT,0.0771,-1,20D,-0.0199,0.1079,-0.1847,-0.6555,-5.9725,-1.711,0.0,0.087386,0.16805,0.4579,-0.0092,0.1199,-0.0764,-0.2712,0.4962,-2.4713,-0.6993,0.013621,0.484512,0.16805,-0.1,1.0222,0.003075,0.002959,2.5911,-0.4552,0.5568,0.6231,0.56,0.0773,0.7374,2.6905,1.0,0.5387,0.8,VALID,0.0013,-0.0456,-0.0176,0.897,0.103,3
MIN_RATIO_30,REJECT,REJECT,0.032,1,20D,0.0133,0.0868,0.1533,0.544,5.1681,1.5904,0.0,0.112022,0.193141,0.555,-0.0093,0.0967,-0.096,-0.3407,0.4512,-3.2363,-0.9933,0.001246,0.320777,0.193141,-0.7,0.5287,0.002099,0.001832,1.6916,-0.6758,0.5311,0.5573,0.825,0.1782,0.3838,1.5863,1.0,0.5891,1.0,VALID,-0.0088,0.0227,0.0185,0.9751,0.0249,1
MA_RATIO_60,WEAK,WEAK,-0.0506,1,20D,0.0195,0.0971,0.2013,0.7145,6.6975,2.0043,0.0,0.045283,0.141509,0.5836,0.0032,0.1073,0.0302,0.1073,0.5023,1.0054,0.3083,0.314911,0.757884,0.141509,0.0,0.6989,0.002453,0.002279,1.9252,-0.6331,0.5409,0.7629,1.0528,0.1161,0.5708,2.0971,1.0,0.5581,0.8,VALID,-0.0079,0.0487,0.0162,0.9493,0.0507,2
MA_RATIO_30,REJECT,REJECT,-0.3903,1,20D,0.0118,0.088,0.1335,0.474,4.5026,1.4542,7e-06,0.146178,0.24363,0.5462,0.0012,0.098,0.0122,0.0433,0.5075,0.411,0.1359,0.681147,0.891932,0.24363,-0.3,1.0098,0.003201,0.002956,2.4431,-0.696,0.5381,1.0591,1.461,0.1636,0.8916,2.8377,1.0,0.5818,0.8,VALID,-0.016,0.0422,0.0083,0.9751,0.0249,2
MAX_RATIO_60,REJECT,REJECT,-0.8562,1,20D,0.0078,0.0889,0.0883,0.3134,2.9375,0.8929,0.003377,0.372094,0.465117,0.5257,0.0097,0.0851,0.1142,0.4053,0.5294,3.7994,1.2211,0.000153,0.222307,0.465117,0.1,0.8544,0.002796,0.002634,2.1855,-0.6134,0.5391,0.9197,1.231,0.1078,0.795,2.8813,1.0,0.5539,0.8,VALID,-0.0154,0.0428,-0.0007,0.9493,0.0507,4
MAX_RATIO_120,REJECT,REJECT,-1.1531,1,20D,0.0065,0.0959,0.0679,0.2411,2.1982,0.6513,0.028154,0.514979,0.615935,0.5043,0.0125,0.096,0.1305,0.4631,0.5387,4.2215,1.2416,2.6e-05,0.214654,0.615935,0.1,1.1468,0.003336,0.003219,2.6483,-0.4003,0.5591,0.829,0.7951,0.0781,0.9178,3.261,1.0,0.5391,0.6,VALID,-0.0236,0.0482,0.0005,0.8978,0.1022,4
