factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
ROC60,-0.0064,0.1085,-0.059,-0.2093,0.5145,-1.9613,-0.5863,0.050096,0.557763,0.057686
MA_RATIO_120,0.0066,0.1189,0.0552,0.196,0.4785,1.7863,0.5157,0.074343,0.606207,0.141509
MIN_RATIO_60,-0.0127,0.1053,-0.1204,-0.4275,0.4408,-4.0073,-1.1785,6.6e-05,0.238837,0.16268
MIN_RATIO_120,-0.0151,0.1178,-0.1283,-0.4553,0.4059,-4.1499,-1.2024,3.6e-05,0.22949,0.283399
ROC120,-0.0092,0.1199,-0.0764,-0.2712,0.4962,-2.4713,-0.6993,0.013621,0.484512,0.16805
MIN_RATIO_30,-0.0093,0.0967,-0.096,-0.3407,0.4512,-3.2363,-0.9933,0.001246,0.320777,0.193141
MA_RATIO_60,0.0032,0.1073,0.0302,0.1073,0.5023,1.0054,0.3083,0.314911,0.757884,0.141509
MA_RATIO_30,0.0012,0.098,0.0122,0.0433,0.5075,0.411,0.1359,0.681147,0.891932,0.24363
MAX_RATIO_60,0.0097,0.0851,0.1142,0.4053,0.5294,3.7994,1.2211,0.000153,0.222307,0.465117
MAX_RATIO_120,0.0125,0.096,0.1305,0.4631,0.5387,4.2215,1.2416,2.6e-05,0.214654,0.615935
