factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,recommended_direction
ROC60,-0.0261,0.0975,-0.2675,-0.9494,0.396,-8.8952,-2.6537,0.0,0.008076,0.057686,-1
MA_RATIO_120,0.0228,0.106,0.2153,0.7644,0.575,6.9681,2.0129,0.0,0.044382,0.141509,1
MIN_RATIO_60,0.0173,0.0926,0.1872,0.6645,0.57,6.2284,1.8361,0.0,0.06661,0.16268,1
MIN_RATIO_120,0.0138,0.1035,0.1329,0.4718,0.531,4.3011,1.2551,1.9e-05,0.209715,0.283399,1
ROC120,-0.0199,0.1079,-0.1847,-0.6555,0.4579,-5.9725,-1.711,0.0,0.087386,0.16805,-1
MIN_RATIO_30,0.0133,0.0868,0.1533,0.544,0.555,5.1681,1.5904,0.0,0.112022,0.193141,1
MA_RATIO_60,0.0195,0.0971,0.2013,0.7145,0.5836,6.6975,2.0043,0.0,0.045283,0.141509,1
MA_RATIO_30,0.0118,0.088,0.1335,0.474,0.5462,4.5026,1.4542,7e-06,0.146178,0.24363,1
MAX_RATIO_60,0.0078,0.0889,0.0883,0.3134,0.5257,2.9375,0.8929,0.003377,0.372094,0.465117,1
MAX_RATIO_120,0.0065,0.0959,0.0679,0.2411,0.5043,2.1982,0.6513,0.028154,0.514979,0.615935,1
