factor_name,long_turnover,long_gross_return,long_sharpe,5bps,10bps,20bps,30bps
MIN_RATIO_30,0.1782,0.002099,1.6916,0.563264,0.494721,0.366487,0.249214
MA_RATIO_30,0.1636,0.003201,2.4431,1.051532,0.96887,0.813365,0.670098
ROC60,0.1038,0.002105,1.666,0.585826,0.544964,0.46636,0.391739
MAX_RATIO_60,0.1078,0.002796,2.1855,0.879748,0.829474,0.73291,0.641424
MIN_RATIO_60,0.1223,0.001261,1.007,0.285093,0.24612,0.171671,0.101654
MA_RATIO_60,0.1161,0.002453,1.9252,0.723847,0.67423,0.579223,0.489586
ROC120,0.0773,0.003075,2.5911,1.041914,1.002624,0.926291,0.852856
MAX_RATIO_120,0.0781,0.003336,2.6483,1.167961,1.125807,1.043932,0.965199
MIN_RATIO_120,0.0849,0.002172,1.9383,0.633552,0.599046,0.532196,0.468131
MA_RATIO_120,0.0831,0.002874,2.3853,0.936656,0.896621,0.819008,0.744559
