factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,recommended_direction
MOM_ACC_20_60,-0.0245,0.0925,-0.2645,-0.939,0.365,-8.8014,-2.5803,0.0,0.01,0.045455,-1
ATR_RATIO_20,-0.0174,0.1022,-0.1704,-0.6048,0.4241,-5.7676,-1.5946,0.0,0.111086,0.245426,-1
ATR_RATIO_5,-0.0145,0.092,-0.1572,-0.5578,0.4307,-5.3547,-1.5563,0.0,0.119916,0.245426,-1
MOM_ACC_60_120,-0.0152,0.1001,-0.1515,-0.5379,0.5005,-4.9036,-1.3622,1e-06,0.17344,0.309714,-1
STD250,-0.0181,0.1025,-0.1764,-0.6261,0.4083,-5.338,-1.4494,0.0,0.147575,0.273287,-1
ROC_STD_60,-0.0147,0.0943,-0.1556,-0.5523,0.4376,-5.1746,-1.5447,0.0,0.122713,0.245426,-1
ROC_STD_120,-0.0061,0.1038,-0.0589,-0.2092,0.5067,-1.9057,-0.542,0.05697,0.587905,0.716957,-1
ROC_STD_20,-0.006,0.0812,-0.074,-0.2626,0.466,-2.5045,-0.7893,0.012401,0.430101,0.537626,-1
ATR_RATIO_60,-0.0118,0.1006,-0.1174,-0.4168,0.425,-3.9052,-1.0981,0.0001,0.272396,0.412721,-1
ROC_STD_250,-0.0013,0.1171,-0.0114,-0.0404,0.5284,-0.3449,-0.097,0.730275,0.922732,0.922732,-1
