factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
STD250,1D,-0.0123,-4.0029,6.8e-05,0.00072
STD250,3D,-0.0169,-3.6152,0.000316,0.002633
STD250,5D,-0.0173,-2.8375,0.004646,0.025811
STD250,10D,-0.0147,-1.6768,0.093917,0.245426
STD250,20D,-0.0181,-1.4494,0.147575,0.273287
ATR_RATIO_5,1D,-0.0125,-4.79,2e-06,0.0001
ATR_RATIO_5,3D,-0.0151,-3.9968,6.8e-05,0.00072
ATR_RATIO_5,5D,-0.0118,-2.461,0.013996,0.058317
ATR_RATIO_5,10D,-0.0074,-1.11,0.267238,0.412721
ATR_RATIO_5,20D,-0.0145,-1.5563,0.119916,0.245426
ATR_RATIO_20,1D,-0.0122,-4.1629,3.4e-05,0.00072
ATR_RATIO_20,3D,-0.0166,-3.9836,7.2e-05,0.00072
ATR_RATIO_20,5D,-0.0148,-2.7913,0.005336,0.02668
ATR_RATIO_20,10D,-0.0123,-1.5991,0.110073,0.245426
ATR_RATIO_20,20D,-0.0174,-1.5946,0.111086,0.245426
ATR_RATIO_60,1D,-0.0105,-3.4768,0.000527,0.003764
ATR_RATIO_60,3D,-0.0134,-2.9712,0.003029,0.018931
ATR_RATIO_60,5D,-0.012,-2.091,0.036752,0.108094
ATR_RATIO_60,10D,-0.009,-1.1193,0.263244,0.412721
ATR_RATIO_60,20D,-0.0118,-1.0981,0.272396,0.412721
ROC_STD_20,1D,-0.0056,-2.121,0.034133,0.106666
ROC_STD_20,3D,-0.006,-1.597,0.110528,0.245426
ROC_STD_20,5D,-0.0043,-0.8998,0.368435,0.497885
ROC_STD_20,10D,-0.0049,-0.7917,0.428687,0.537626
ROC_STD_20,20D,-0.006,-0.7893,0.430101,0.537626
ROC_STD_60,1D,-0.0037,-1.2748,0.202648,0.349393
ROC_STD_60,3D,-0.0074,-1.8275,0.067885,0.188569
ROC_STD_60,5D,-0.008,-1.5606,0.118895,0.245426
ROC_STD_60,10D,-0.0104,-1.4518,0.146833,0.273287
ROC_STD_60,20D,-0.0147,-1.5447,0.122713,0.245426
ROC_STD_120,1D,0.0007,0.2421,0.80876,0.851617
ROC_STD_120,3D,-0.0019,-0.4143,0.678762,0.789258
ROC_STD_120,5D,-0.0017,-0.3007,0.763738,0.83015
ROC_STD_120,10D,-0.0027,-0.3209,0.748358,0.83015
ROC_STD_120,20D,-0.0061,-0.542,0.587905,0.716957
ROC_STD_250,1D,0.0035,1.03,0.303275,0.44356
ROC_STD_250,3D,0.0018,0.3634,0.716352,0.814036
ROC_STD_250,5D,0.0015,0.2308,0.817552,0.851617
ROC_STD_250,10D,0.0012,0.1261,0.899717,0.918079
ROC_STD_250,20D,-0.0013,-0.097,0.922732,0.922732
MOM_ACC_20_60,1D,-0.0027,-0.9142,0.360823,0.497885
MOM_ACC_20_60,3D,-0.0091,-2.2174,0.026797,0.09126
MOM_ACC_20_60,5D,-0.0113,-2.209,0.027378,0.09126
MOM_ACC_20_60,10D,-0.017,-2.3651,0.018194,0.069977
MOM_ACC_20_60,20D,-0.0245,-2.5803,0.01,0.045455
MOM_ACC_60_120,1D,0.0015,0.489,0.62491,0.74394
MOM_ACC_60_120,3D,-0.0037,-0.8581,0.391042,0.514529
MOM_ACC_60_120,5D,-0.0057,-1.0147,0.310492,0.44356
MOM_ACC_60_120,10D,-0.0101,-1.2378,0.21606,0.3601
MOM_ACC_60_120,20D,-0.0152,-1.3622,0.17344,0.309714
