factor_name,overall_rank_ic,sign_consistency,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026,ic_2021
STD250,-0.0181,0.5,VALID,-0.016,0.01,-0.0306,0.0095,-0.0669,0.0038,0.0131,-0.0373,
ATR_RATIO_5,-0.0145,0.8,VALID,-0.0003,0.0002,-0.0282,0.0039,-0.0324,-0.0142,-0.0065,-0.01,-0.0608
ATR_RATIO_20,-0.0174,0.8,VALID,-0.0127,0.0053,-0.0315,0.0046,-0.0392,-0.0106,-0.0082,-0.0156,-0.1155
ATR_RATIO_60,-0.0118,0.6,VALID,-0.014,0.012,-0.0241,-0.001,-0.0566,0.0029,0.0108,-0.0139,-0.1946
ROC_STD_20,-0.006,0.8,VALID,0.015,-0.0286,-0.0037,-0.0019,0.0268,-0.0204,-0.0127,-0.0158,-0.0638
ROC_STD_60,-0.0147,0.8,VALID,0.004,-0.0324,-0.0136,-0.0173,0.0098,-0.0202,-0.0247,-0.027,0.0296
ROC_STD_120,-0.0061,0.8,VALID,0.0089,-0.0275,-0.0029,-0.0335,0.032,-0.0166,-0.0143,-0.0033,
ROC_STD_250,-0.0013,0.25,VALID,-0.0079,-0.0166,0.008,-0.1243,0.0309,0.0117,-0.0193,0.0,
MOM_ACC_20_60,-0.0245,1.0,VALID,-0.008,-0.0411,-0.0229,-0.0336,-0.0016,-0.0277,-0.0347,-0.0227,-0.0912
MOM_ACC_60_120,-0.0152,0.8,VALID,0.0023,-0.0277,-0.0174,-0.0359,-0.0028,-0.0289,-0.0127,0.0116,
