factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
STD250,20D,,-0.0123,-0.0169,-0.0173,-0.0147,-0.0181
ATR_RATIO_5,3D,,-0.0125,-0.0151,-0.0118,-0.0074,-0.0145
ATR_RATIO_20,20D,,-0.0122,-0.0166,-0.0148,-0.0123,-0.0174
ATR_RATIO_60,3D,,-0.0105,-0.0134,-0.012,-0.009,-0.0118
ROC_STD_20,3D,,-0.0056,-0.006,-0.0043,-0.0049,-0.006
ROC_STD_60,20D,,-0.0037,-0.0074,-0.008,-0.0104,-0.0147
ROC_STD_120,20D,,0.0007,-0.0019,-0.0017,-0.0027,-0.0061
ROC_STD_250,1D,,0.0035,0.0018,0.0015,0.0012,-0.0013
MOM_ACC_20_60,20D,,-0.0027,-0.0091,-0.0113,-0.017,-0.0245
MOM_ACC_60_120,20D,,0.0015,-0.0037,-0.0057,-0.0101,-0.0152
