factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
STD250,-0.0181,-0.0185,-0.0004,1187,916,271,292.8,267,298,REAL_CALCULATED
ATR_RATIO_5,-0.0145,-0.0151,-0.0007,1187,1161,26,294.2,278,300,REAL_CALCULATED
ATR_RATIO_20,-0.0174,-0.018,-0.0006,1187,1146,41,294.1,278,300,REAL_CALCULATED
ATR_RATIO_60,-0.0118,-0.012,-0.0002,1187,1106,81,293.9,274,300,REAL_CALCULATED
ROC_STD_20,-0.006,-0.0066,-0.0005,1187,1146,41,294.1,278,300,REAL_CALCULATED
ROC_STD_60,-0.0147,-0.0146,0.0,1187,1106,81,293.9,274,300,REAL_CALCULATED
ROC_STD_120,-0.0061,-0.006,0.0001,1187,1046,141,293.6,273,300,REAL_CALCULATED
ROC_STD_250,-0.0013,-0.0008,0.0005,1187,916,271,292.8,267,298,REAL_CALCULATED
MOM_ACC_20_60,-0.0245,-0.0246,-0.0002,1187,1107,80,293.9,274,300,REAL_CALCULATED
MOM_ACC_60_120,-0.0152,-0.0155,-0.0003,1187,1047,140,293.6,273,300,REAL_CALCULATED
