factor_name,long_turnover,long_gross_return,long_sharpe,5bps,10bps,20bps,30bps
STD250,0.0143,0.002507,2.7339,0.825557,0.819003,0.805964,0.793019
ATR_RATIO_5,0.1563,0.001386,1.1519,0.321008,0.27003,0.173879,0.084981
ATR_RATIO_20,0.0552,0.001342,1.2855,0.341824,0.323297,0.287003,0.2517
ATR_RATIO_60,0.0386,0.001191,1.1575,0.297236,0.284688,0.259951,0.23569
ROC_STD_20,0.1816,0.002364,1.9067,0.668088,0.59362,0.454472,0.32743
ROC_STD_60,0.1098,0.00181,1.524,0.479477,0.439167,0.361798,0.288573
ROC_STD_120,0.0758,0.002334,2.127,0.706337,0.674095,0.611421,0.551084
ROC_STD_250,0.0539,0.002223,2.2298,0.677564,0.654956,0.610648,0.567521
MOM_ACC_20_60,0.0401,0.002471,2.0358,0.764954,0.747251,0.712373,0.678188
MOM_ACC_60_120,0.0243,0.002686,2.3761,0.879881,0.868413,0.845686,0.823234
