factor_name,monotonicity_score,Q1,Q2,Q3,Q4,Q5
STD250,0.1,0.010698,0.007403,0.004002,0.006849,0.016756
ATR_RATIO_5,0.6,0.009617,0.008654,0.007239,0.0098,0.016005
ATR_RATIO_20,0.6,0.009164,0.009034,0.007031,0.009577,0.016173
ATR_RATIO_60,0.1,0.010388,0.008572,0.005905,0.007783,0.017902
ROC_STD_20,0.3,0.010678,0.009948,0.007388,0.009991,0.013021
ROC_STD_60,0.3,0.011598,0.008373,0.007241,0.009406,0.013948
ROC_STD_120,0.6,0.011221,0.009412,0.007187,0.011941,0.012597
ROC_STD_250,0.3,0.010606,0.007347,0.006265,0.009576,0.011943
MOM_ACC_20_60,-0.3,0.014631,0.007863,0.006992,0.007793,0.013293
MOM_ACC_60_120,-0.1,0.013681,0.008664,0.007302,0.009671,0.012995
