factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
MOM_ACC_20_60,USEFUL,USEFUL,1.1369,-1,20D,-0.0245,0.0925,-0.2645,-0.939,-8.8014,-2.5803,0.0,0.01,0.045455,0.365,-0.0086,0.102,-0.0845,-0.2998,0.467,-2.8102,-0.8224,0.005038,0.411031,0.045455,-0.3,0.7561,0.002471,0.002411,2.0358,-0.6363,0.5435,0.8303,1.0962,0.0401,0.5926,2.2166,1.0,0.52,1.0,VALID,-0.008,-0.0411,-0.0229,0.9493,0.0507,0
ATR_RATIO_20,REJECT,REJECT,0.4109,-1,20D,-0.0174,0.1022,-0.1704,-0.6048,-5.7676,-1.5946,0.0,0.111086,0.245426,0.4241,0.0193,0.1227,0.1571,0.5575,0.5768,5.3173,1.4772,0.0,0.139906,0.245426,0.6,0.3325,0.001342,0.001259,1.2855,-0.6571,0.5296,0.5034,0.7722,0.0552,0.0946,0.4622,1.0,0.5276,0.8,VALID,-0.0127,0.0053,-0.0315,0.9828,0.0172,1
ATR_RATIO_5,REJECT,REJECT,0.2415,-1,3D,-0.0145,0.092,-0.1572,-0.5578,-5.3547,-1.5563,0.0,0.119916,0.245426,0.4307,0.018,0.1111,0.1617,0.574,0.5814,5.5096,1.5727,0.0,0.116067,0.245426,0.6,0.2953,0.001386,0.001152,1.1519,-0.6386,0.5229,0.4705,0.8043,0.1563,0.1025,0.491,1.0,0.5782,0.8,VALID,-0.0003,0.0002,-0.0282,0.9957,0.0043,0
MOM_ACC_60_120,REJECT,REJECT,0.1681,-1,20D,-0.0152,0.1001,-0.1515,-0.5379,-4.9036,-1.3622,1e-06,0.17344,0.309714,0.5005,-0.0089,0.111,-0.0798,-0.2831,0.5272,-2.581,-0.7044,0.009987,0.481334,0.309714,-0.1,0.8741,0.002686,0.002649,2.3761,-0.4801,0.5732,0.4874,0.3694,0.0243,0.5879,2.451,1.0,0.5122,0.8,VALID,0.0023,-0.0277,-0.0174,0.8978,0.1022,0
STD250,REJECT,REJECT,0.0523,-1,20D,-0.0181,0.1025,-0.1764,-0.6261,-5.338,-1.4494,0.0,0.147575,0.273287,0.4083,0.0192,0.1263,0.1522,0.5402,0.5404,4.6059,1.2343,5e-06,0.217402,0.273287,0.1,0.8223,0.002507,0.002486,2.7339,-0.252,0.5733,0.0616,-0.1689,0.0143,0.4209,2.2235,1.0,0.5072,0.5,VALID,-0.016,0.01,-0.0306,0.7855,0.2145,1
ROC_STD_60,REJECT,REJECT,0.0055,-1,20D,-0.0147,0.0943,-0.1556,-0.5523,-5.1746,-1.5447,0.0,0.122713,0.245426,0.4376,0.005,0.0992,0.0506,0.1795,0.5542,1.6819,0.4996,0.092863,0.617445,0.245426,0.3,0.4592,0.00181,0.001645,1.524,-0.6352,0.5298,0.4312,0.5464,0.1098,0.3338,1.4448,1.0,0.5549,0.8,VALID,0.004,-0.0324,-0.0136,0.9485,0.0515,2
ROC_STD_120,REJECT,REJECT,-0.3162,-1,20D,-0.0061,0.1038,-0.0589,-0.2092,-1.9057,-0.542,0.05697,0.587905,0.716957,0.5067,0.0047,0.1087,0.0434,0.1539,0.5535,1.4026,0.3959,0.161019,0.692271,0.716957,0.6,0.6902,0.002334,0.00222,2.127,-0.5139,0.5343,0.2695,0.1506,0.0758,0.4387,1.9323,1.0,0.5379,0.8,VALID,0.0089,-0.0275,-0.0029,0.897,0.103,2
ROC_STD_20,REJECT,REJECT,-0.4751,-1,3D,-0.006,0.0812,-0.074,-0.2626,-2.5045,-0.7893,0.012401,0.430101,0.537626,0.466,0.0073,0.0837,0.0867,0.3077,0.5323,2.9344,0.932,0.003409,0.351514,0.537626,0.3,0.6304,0.002364,0.002091,1.9067,-0.7174,0.5425,0.6952,1.0657,0.1816,0.5617,2.2183,1.0,0.5908,0.8,VALID,0.015,-0.0286,-0.0037,0.9828,0.0172,0
ATR_RATIO_60,REJECT,REJECT,-0.5202,-1,3D,-0.0118,0.1006,-0.1174,-0.4168,-3.9052,-1.0981,0.0001,0.272396,0.412721,0.425,0.0231,0.1147,0.2016,0.7155,0.557,6.7036,1.862,0.0,0.062869,0.412721,0.1,0.291,0.001191,0.001133,1.1575,-0.6252,0.5413,0.4475,0.6343,0.0386,0.0743,0.3807,1.0,0.5193,0.6,VALID,-0.014,0.012,-0.0241,0.9485,0.0515,1
ROC_STD_250,REJECT,REJECT,-1.2037,-1,1D,-0.0013,0.1171,-0.0114,-0.0404,-0.3449,-0.097,0.730275,0.922732,0.922732,0.5284,0.0094,0.1214,0.0774,0.2748,0.5622,2.3433,0.6496,0.019328,0.516082,0.922732,0.3,0.6662,0.002223,0.002142,2.2298,-0.4303,0.5476,-0.4179,-0.6515,0.0539,0.4004,2.1286,1.0,0.527,0.25,VALID,-0.0079,-0.0166,0.008,0.7855,0.2145,0
