,STD250,ATR_RATIO_5,ATR_RATIO_20,ATR_RATIO_60,ROC_STD_20,ROC_STD_60,ROC_STD_120,ROC_STD_250,MOM_ACC_20_60,MOM_ACC_60_120
STD250,1.0,0.5982760571688881,0.7092137379067391,0.7902646286699908,0.011813621806361236,0.09110430428548784,0.1853302289441938,0.3400124056649826,0.06151206164165963,0.15647116494075178
ATR_RATIO_5,0.5982760571688881,1.0,0.8048909967256697,0.6534506638041188,0.238131685082477,0.31446641614099125,0.3495893222241307,0.37409564704410403,0.24483660474473434,0.23395132352956807
ATR_RATIO_20,0.7092137379067391,0.8048909967256697,1.0,0.8332699242091764,0.11125371351396246,0.29000628036167997,0.35383308593763774,0.3990968208288622,0.2819782248072255,0.2904510153194605
ATR_RATIO_60,0.7902646286699908,0.6534506638041188,0.8332699242091764,1.0,-0.10646255940715182,0.09275875809154446,0.2522977426784971,0.3463541376441251,0.004583757968482546,0.2916248490215551
ROC_STD_20,0.011813621806361236,0.238131685082477,0.11125371351396246,-0.10646255940715182,1.0,0.5066945558090933,0.36117449388244005,0.25687676973288515,0.4338309011623209,0.072824354391152
ROC_STD_60,0.09110430428548784,0.31446641614099125,0.29000628036167997,0.09275875809154446,0.5066945558090933,1.0,0.6561169813979977,0.46368273067787086,0.7681820923358378,0.523059762708416
ROC_STD_120,0.1853302289441938,0.3495893222241307,0.35383308593763774,0.2522977426784971,0.36117449388244005,0.6561169813979977,1.0,0.6715294021179232,0.5169177411123297,0.7550174828527998
ROC_STD_250,0.3400124056649826,0.37409564704410403,0.3990968208288622,0.3463541376441251,0.25687676973288515,0.46368273067787086,0.6715294021179232,1.0,0.3640829381817209,0.5117739604680672
MOM_ACC_20_60,0.06151206164165963,0.24483660474473434,0.2819782248072255,0.004583757968482546,0.4338309011623209,0.7681820923358378,0.5169177411123297,0.3640829381817209,1.0,0.3860252010990949
MOM_ACC_60_120,0.15647116494075178,0.23395132352956807,0.2904510153194605,0.2916248490215551,0.072824354391152,0.523059762708416,0.7550174828527998,0.5117739604680672,0.3860252010990949,1.0
