,STD250,ATR_RATIO_5,ATR_RATIO_20,ATR_RATIO_60,ROC_STD_20,ROC_STD_60,ROC_STD_120,ROC_STD_250,MOM_ACC_20_60,MOM_ACC_60_120
STD250,1.0,0.800478080804411,0.8502898891898344,0.9109370721870832,-0.0323937484862912,0.1688346819416804,0.20020037495291587,0.32750758655628553,0.20320392794782494,0.19473188188121393
ATR_RATIO_5,0.800478080804411,1.0,0.9045643420570221,0.7971061397214314,0.28342284785368355,0.43966336538062717,0.4469854573095568,0.5299510830526066,0.4173704942455215,0.3775719795634537
ATR_RATIO_20,0.8502898891898344,0.9045643420570221,1.0,0.9103971222008884,0.1329519361234239,0.36769992021931847,0.38976806609784004,0.4932922022343897,0.3957716391733523,0.38734381866281403
ATR_RATIO_60,0.9109370721870832,0.7971061397214314,0.9103971222008884,1.0,-0.1304439188126889,0.11114283703673165,0.1860978755046765,0.3451768628527121,0.13245805992883153,0.25676824114967745
ROC_STD_20,-0.0323937484862912,0.28342284785368355,0.1329519361234239,-0.1304439188126889,1.0,0.717752630009946,0.616691885353743,0.5435798485583794,0.6306283678569053,0.3522566706377362
ROC_STD_60,0.1688346819416804,0.43966336538062717,0.36769992021931847,0.11114283703673165,0.717752630009946,1.0,0.8737175139939413,0.7601585071049414,0.8942259284450325,0.7127712358632544
ROC_STD_120,0.20020037495291587,0.4469854573095568,0.38976806609784004,0.1860978755046765,0.616691885353743,0.8737175139939413,1.0,0.8674081794713848,0.8050839536148576,0.8604188205244585
ROC_STD_250,0.32750758655628553,0.5299510830526066,0.4932922022343897,0.3451768628527121,0.5435798485583794,0.7601585071049414,0.8674081794713848,1.0,0.7074499900505599,0.7076004900776498
MOM_ACC_20_60,0.20320392794782494,0.4173704942455215,0.3957716391733523,0.13245805992883153,0.6306283678569053,0.8942259284450325,0.8050839536148576,0.7074499900505599,1.0,0.6676934529905415
MOM_ACC_60_120,0.19473188188121393,0.3775719795634537,0.38734381866281403,0.25676824114967745,0.3522566706377362,0.7127712358632544,0.8604188205244585,0.7076004900776498,0.6676934529905415,1.0
