,lightgbm_clf_baseline,lightgbm_reg_baseline,lightgbm_ranker,double_ensemble
2023-07-03,0.3123288575830949,0.21187380890753416,0.1937807003289323,0.34161567246313007
2023-07-04,0.36212854941668504,0.2386934671012323,0.2603641790867474,0.376682808716707
2023-07-05,0.35518600044023774,0.21308388857525365,0.24144459967227294,0.35542813119084304
2023-07-06,0.4051904028175215,0.23134307367499896,0.25708929817878784,0.37128549416685014
2023-07-07,0.3098503191723531,0.16108764674075818,0.15467636192285078,0.3103103675985032
2023-07-10,0.23526317150739393,0.15332395934352394,0.11241326125616431,0.25116016462702717
2023-07-11,0.291386748844376,0.20963304554753798,0.15151514433042096,0.34359894342945196
2023-07-12,0.31050407219898746,0.17823054252752044,0.12870357715108519,0.34224301122606215
2023-07-13,0.3428762486799052,0.22742079106767119,0.2071882849191569,0.3803279894738664
2023-07-14,0.4151711444417821,0.2446578667786654,0.26210810393123546,0.4070947563531549
2023-07-17,0.36841270949083793,0.24380314003177253,0.19704274669497035,0.3577556427324122
2023-07-18,0.34135056526029683,0.24851054154490224,0.16716976560829533,0.32981380170010904
2023-07-19,0.37900573051020586,0.2951117776696623,0.22007238675367644,0.34625655719256937
2023-07-20,0.27841233704402624,0.21342495103334477,0.1397968365079089,0.24415262893647965
2023-07-21,0.3171934844816201,0.2592958362273569,0.16781321949920344,0.24177856042262824
2023-07-24,0.3124794411454096,0.19616770646204265,0.14696328494403896,0.21522740257267017
2023-07-25,0.13651627856399404,0.11925346665494341,0.08771619409983926,0.11441772391592503
2023-07-26,0.2078572572404328,0.15656589713155114,0.13250574149740016,0.12515195088707096
2023-07-27,0.07988778334129723,0.0981754576929934,0.06877476482402962,0.09320718314286199
2023-07-28,0.18284173453664979,0.09077312682688403,0.10343054560221371,0.16270746202949593
2023-07-31,0.01315120312844601,0.07240424910857039,0.07688648604088115,0.07120737004087337
2023-08-01,-0.046060998272623235,0.06016831490405664,0.03347701930784045,0.01670923217545497
2023-08-02,-0.0713185119964781,0.03735713358559496,0.012802054558082322,-0.02583094871230465
2023-08-03,-0.07200968523002421,0.03923431385733564,0.09052371115230558,0.008302883557120846
2023-08-04,0.04722870349988994,0.07010322736415,0.08269194379577073,0.0450891481399956
2023-08-07,0.051871184430758985,0.08045509742009793,0.08522023171868835,0.05150112424728617
2023-08-08,0.12831933630318276,0.10155715139194339,0.12791458733306837,0.12136327852257975
2023-08-09,0.06532968495893857,0.055681732796601616,0.12234540115283549,0.12708771529708773
2023-08-10,0.05055552068294519,0.008125573963188491,0.09799326024612105,0.11017303789257842
2023-08-11,0.018873056723788,-0.002150473541079464,0.11970533126793843,0.0823321406900592
2023-08-14,0.028924737932333182,0.04273255921268909,0.11329697224081707,0.0812001757579562
2023-08-15,0.0918251626807273,0.03274203613298967,0.1558938122578017,0.12431109158244932
2023-08-16,0.11094720984244553,0.05470150393768281,0.20456915912961096,0.13288138430314061
2023-08-17,0.13961586460253914,0.06892062712068535,0.22573075854903984,0.1759483961022588
2023-08-18,0.12071014583725649,0.04781924350561525,0.22156941783173859,0.16951436402820497
2023-08-21,0.103266310540477,0.056713636491192286,0.1939156533044195,0.13796042041473344
2023-08-22,0.1585470817476639,0.10405529200425617,0.2075335112915165,0.21002756591189334
2023-08-23,0.07298767601950076,0.05557972656283233,0.1680904211467594,0.15033373088109137
2023-08-24,0.12429130285372618,0.18609870096381828,0.19697061942565713,0.1905324763891741
2023-08-25,0.09059904170066746,0.07664958803473755,0.11673993617043373,0.1523465779507459
2023-08-28,0.10926495511895047,0.06438898712611409,0.11719098661887042,0.15025840604272592
2023-08-29,0.12501340419481685,0.0694347868588855,0.1474779502481551,0.207769028816502
2023-08-30,0.15877044498276127,0.07742708813322163,0.1254351087958529,0.20696974816908453
2023-08-31,0.13980326152641478,0.09094756982402459,0.12894791728496915,0.20225804529708657
2023-09-01,0.12308083500129466,0.09538485279343036,0.15434718306686426,0.16799682103481525
2023-09-04,0.17349866481165258,0.13114760925378968,0.19986835819065923,0.2186433549757992
2023-09-05,0.020933729893607814,0.035924317303648486,0.06630692192445355,0.08106124038806761
2023-09-06,0.05093581636040207,0.05694900635646305,0.08501333828134675,0.08847805363815099
2023-09-07,0.06053545562243091,0.09914113313672668,0.10977566975993222,0.1569895172933275
2023-09-08,0.042906432294354147,0.07353313559287925,0.10672648935354065,0.10741774507317768
2023-09-11,0.047494012845651114,0.07844521087967651,0.11488097462153127,0.141776741528764
2023-09-12,0.040638219097633,0.09721727373681084,0.11129611918012858,0.1622017856686895
2023-09-13,-0.05595008974113846,0.05758475073905261,0.04545768454618392,0.04483754846794261
2023-09-14,-0.046964210575598304,0.057466119984974195,0.04315690075376372,0.007477168463967452
2023-09-15,-0.023181538180011473,0.01667580336990569,0.049234488017611565,-0.00502697544176209
2023-09-18,0.0014309591469142881,0.05352843536962092,0.04888282632356449,0.05453284237426444
2023-09-19,-0.0010862534151552033,0.05520190629437839,0.06626927343672405,0.10438459116017396
2023-09-20,0.04521842931341346,0.08495098461212837,0.07526535804151181,0.11017865198185393
2023-09-21,0.059901364837865824,0.10764163505642561,0.0809654994514797,0.11323727643258162
2023-09-22,0.07915401940806938,0.08544550822525541,0.12038842902943207,0.1577907255711695
2023-09-25,0.05479793090106732,0.057178182145640834,0.09134599701322757,0.11761113617213234
2023-09-26,0.06294747514854543,0.07951559230280864,0.09983210471559803,0.11059139072814018
2023-09-27,0.06822763895509457,0.10331072202076208,0.14022252313971492,0.1511221332261125
2023-09-28,0.05623832741466619,0.05262041899144862,0.09018924615605557,0.11797326373617996
2023-10-09,0.06408054740263436,0.07310658138663206,0.06425732796373435,0.08218362635932451
2023-10-10,0.03383237808485915,0.060776124613483654,0.08111394341654636,0.06851111486574016
2023-10-11,0.053488042424696756,0.09278482384037395,0.06975951644031743,0.09932113418407103
2023-10-12,-0.0038300628021517855,0.049130052355485475,0.06914289496508774,0.038834159204365365
2023-10-13,-0.03660893677366264,-0.01712858277887275,-0.006798456811700989,-0.004188897955767581
2023-10-16,0.010931522885948645,0.007929297186044628,-0.052894303347751824,-0.008436381896930512
2023-10-17,0.029917576798686323,-0.0008034305660750034,-0.04826866192255583,0.02161928609801213
2023-10-18,0.043091060977063715,0.01741965604792789,-0.038813703065739696,-0.008363149415186323
2023-10-19,0.09222066632178899,0.0095006055542584,-0.017892417383259755,0.040516393614127594
2023-10-20,0.007435193142926311,0.0003270526101283974,-0.059748880686186764,-0.035026049839934716
2023-10-23,0.19145487101020922,0.09933390186472354,0.034278102717046025,0.09304967803821378
2023-10-24,0.15459393069479913,0.0637111893792398,0.03732868621864509,0.07511773435322851
2023-10-25,0.11253740087460506,0.08818046513972713,0.05074661937702711,0.05565250141234072
2023-10-26,0.06905303551412005,0.06977200645865245,0.030794561195620556,0.021016687075875427
2023-10-27,0.0844768062268533,0.09447061865769273,0.03396480074021737,0.09116397798840833
2023-10-30,0.10764128638085074,0.18154213905143501,0.0965430826956483,0.1892348251836043
2023-10-31,0.20540163350452317,0.10695585318805834,0.15732025707477967,0.23319745213604143
2023-11-01,0.1970499833135463,0.09404985143859819,0.15478861917103162,0.26590086414328457
2023-11-02,0.12051045185541283,0.06449717437267026,0.12191531809707089,0.2013160923147741
2023-11-03,0.14191431053881617,0.06532848382382671,0.08820109497869708,0.19739920071977066
2023-11-06,0.2241922963457638,0.12843861787268795,0.13544349863832217,0.21491013328311676
2023-11-07,0.1951899532734365,0.09379788861179209,0.14982881918393412,0.18621757484392007
2023-11-08,0.17042803428970532,0.10205352930592292,0.1442891843746665,0.14228660174431346
2023-11-09,0.18463411929397106,0.08811526657332794,0.1673370102124475,0.17161099513058398
2023-11-10,0.20937628810985473,0.09094124526505591,0.11046255703349629,0.18142729135403657
2023-11-13,0.16243826884438564,0.1565749207646386,0.0950115544317945,0.16983449459125813
2023-11-14,0.18985017664749645,0.06549446617788673,0.10694019248831842,0.18806729018893978
2023-11-15,0.24321905386626977,0.08998908255416332,0.11790569784058391,0.1967287033293342
2023-11-16,0.18297259323822418,0.11720970687429692,0.10419703661800497,0.12012010127006048
2023-11-17,0.15125983605316037,0.10802834578255197,0.09815212834409845,0.12298250945878143
2023-11-20,0.10684729293375644,0.10077257638520024,0.0435415022442419,0.05912581340363651
2023-11-21,0.12191540702374767,0.13360707961348417,0.03016515945840149,0.03153599899566882
2023-11-22,0.0812703547280509,0.13980979569803748,0.017701966736325393,0.03396942751524094
2023-11-23,0.04063360809494,0.12140852738613137,0.02146739970615876,-0.010325779925930574
2023-11-24,0.07436072873118946,0.13425930236693073,-0.0030410260245007275,-0.019199564787808904
2023-11-27,0.014246886043750698,0.034961222009177575,-0.031339159555087474,-0.0789237330381822
2023-11-28,0.03370905663784177,0.04871975244096097,-0.012342854181497893,-0.02946841294298922
2023-11-29,0.06000945712483888,0.0341023792964078,-0.031711074919282906,-0.00701490139048368
2023-11-30,0.019541753455796326,0.03094189180122489,0.013738181008020824,0.032697235158671074
2023-12-01,0.02646256357717407,0.07579613863799915,0.05108189232949016,0.05479692179844532
2023-12-04,0.06768303206480714,0.07930596145257034,0.10867336899564858,0.1284971693703364
2023-12-05,0.09215044577702303,0.1683235143364947,0.11618200238343483,0.14227809421582036
2023-12-06,0.13169367273521923,0.18861038246652845,0.12488287588800319,0.19659242395387894
2023-12-07,0.16161584465331377,0.13799252283762342,0.12910998630833936,0.20603867661570957
2023-12-08,0.25268551055225563,0.13593377682016128,0.19638212046557796,0.28231001579249637
2023-12-11,0.2984473686219498,0.13026859420386241,0.16596893487531153,0.27395863991274394
2023-12-12,0.3182735492868347,0.132531891617009,0.20718620789321612,0.27964360871031424
2023-12-13,0.24643998411903864,0.11076664429778395,0.22076433398233228,0.2293264704036156
2023-12-14,0.30288986137093277,0.15164765713494996,0.24102519882706194,0.27827715355805244
2023-12-15,0.304399975938877,0.14978183082806432,0.21543540658350446,0.2667963927771849
2023-12-18,0.3082367230749293,0.14779994791300438,0.21358871088261772,0.2852530705333417
2023-12-19,0.33739390433126276,0.16454469203860617,0.21461458962566105,0.319247588558994
2023-12-20,0.15562433600337744,0.11475516078460808,0.11174697984619217,0.19477957022995
2023-12-21,0.1990693178276524,0.12196209178230154,0.08605413080995065,0.21132080603899173
2023-12-22,0.12064122428105309,0.02488323374672576,0.00700227859193307,0.0692611888770322
2023-12-25,0.05996072642513175,0.05089481927585688,-0.024581956497644056,0.06433267650738253
2023-12-26,0.08672110457673057,0.00039125931409888457,0.004377061688965409,0.21339009019926944
2023-12-27,0.08524708185085662,-0.011796999851538441,0.026855700108970964,0.2523103025345663
2023-12-28,0.18384127063920458,0.04281383670495375,0.05193573277755866,0.36292004986063264
2023-12-29,0.19601534453930816,0.01996747766423236,0.1419475234817975,0.40180441820605606
2024-01-02,0.14522580838460017,-0.017547658003401377,0.1174635373824098,0.3482325597249084
2024-01-03,0.13624216406159378,-0.000324791246961892,0.13661192578001716,0.37577819364401116
2024-01-04,0.1708093568732259,-0.03525349250597684,0.10033638337184608,0.29937079016420054
2024-01-05,0.13105167659732997,-0.06515260548334267,0.039599754715550675,0.2552352097816972
2024-01-08,-0.012254925167679884,-0.12777296764439292,-0.03244387530411506,0.20445683747299911
2024-01-09,0.02395258325899863,-0.13656625513442705,-0.01707199051933437,0.14438166776766917
2024-01-10,0.006436353792825274,-0.15209628350815785,-0.017223333277162505,0.08933530503176636
2024-01-11,0.0010665406202505564,-0.1233308107809943,0.04099155314919358,0.15364810414084926
2024-01-12,-0.004892726668565611,-0.20601413625167755,-0.059124955163830234,0.05104931684556315
