,classification_rankic,regression_rankic,lambdarank_rankic,reg_minus_clf,rank_minus_clf
2023-07-03,0.284112857236344,0.2003923423266867,0.19440201183542588,-0.08372051490965729,-0.08971084540091812
2023-07-04,0.31833415913319063,0.22706369298046708,0.21690801836080292,-0.09127046615272355,-0.10142614077238771
2023-07-05,0.3074532332401583,0.25668214230321,0.19116690194172037,-0.05077109093694826,-0.1162863312984379
2023-07-06,0.3099381117540924,0.26228381369338305,0.2111417539988969,-0.047654298060709366,-0.09879635775519552
2023-07-07,0.23042786915916622,0.16845410406923883,0.16866395344638577,-0.061973765089927385,-0.06176391571278045
2023-07-10,0.1675134235387843,0.1454729836970192,0.12422015914965144,-0.022040439841765097,-0.04329326438913285
2023-07-11,0.2353651126048221,0.15953435073683161,0.16122308749427394,-0.07583076186799048,-0.07414202511054815
2023-07-12,0.2271160997218901,0.13791594759570422,0.16921858358619565,-0.08920015212618587,-0.05789751613569444
2023-07-13,0.2893434761823148,0.21706928218505284,0.22595128075744875,-0.07227419399726198,-0.06339219542486607
2023-07-14,0.3224580492454119,0.24532140593105425,0.2387579151219201,-0.07713664331435763,-0.08370013412349178
2023-07-17,0.26624066241109284,0.2097937147416375,0.18706383965321643,-0.05644694766945535,-0.07917682275787641
2023-07-18,0.3004882698038049,0.18074580012343788,0.16334782729110814,-0.119742469680367,-0.13714044251269675
2023-07-19,0.33129049145998307,0.21394336785086598,0.16155356324847853,-0.11734712360911709,-0.16973692821150455
2023-07-20,0.24287308571011115,0.1424383706646089,0.1081157386611371,-0.10043471504550225,-0.13475734704897405
2023-07-21,0.26620640010470525,0.11936374146251257,0.1000787859991394,-0.1468426586421927,-0.16612761410556587
2023-07-24,0.2801524536495692,0.10672115095758852,0.11255676843061857,-0.17343130269198068,-0.16759568521895063
2023-07-25,0.1990487953117325,0.026848754338858805,0.02288323101592805,-0.1722000409728737,-0.17616556429580446
2023-07-26,0.2203009129335363,-0.009578246988387312,-0.0049900915679816134,-0.2298791599219236,-0.2252910045015179
2023-07-27,0.14297191458252584,-0.004272151898911651,-0.0061490941479835255,-0.14724406648143748,-0.14912100873050937
2023-07-28,0.09696448861059478,-0.03236565068236046,0.0016308810052890418,-0.12933013929295525,-0.09533360760530574
2023-07-31,0.08979638580122844,-0.0844913172013001,-0.04565824572744964,-0.17428770300252855,-0.1354546315286781
2023-08-01,-0.014648913835322002,-0.10173692168405964,-0.07582013932572924,-0.08708800784873763,-0.06117122549040724
2023-08-02,-0.04270990617549206,-0.0696844583421234,-0.10490153619843882,-0.026974552166631346,-0.06219163002294677
2023-08-03,-0.011861134742490679,-0.019242558560865528,-0.04101499072318953,-0.007381423818374849,-0.02915385598069885
2023-08-04,0.02749797308935847,-0.07257462878655109,-0.14491154863452413,-0.10007260187590956,-0.1724095217238826
2023-08-07,0.0723732553030374,-0.019362647171571764,-0.1330597287013752,-0.09173590247460917,-0.2054329840044126
2023-08-08,0.10086851103800255,0.016505912320482458,-0.0945705335535844,-0.0843625987175201,-0.19543904459158695
2023-08-09,0.07382255550383406,0.024227537432239744,-0.045181802670437615,-0.04959501807159431,-0.11900435817427167
2023-08-10,0.06406091701738512,0.006977488293941849,-0.10073573590595547,-0.05708342872344327,-0.1647966529233406
2023-08-11,0.026185365420291547,-0.028068908252490615,-0.13449619164444385,-0.05425427367278216,-0.1606815570647354
2023-08-14,0.04189628765899952,0.05092166242483091,-0.09609146897282489,0.009025374765831394,-0.13798775663182442
2023-08-15,0.04969577239363114,0.044984601453651074,-0.05209401066251308,-0.004711170939980067,-0.10178978305614422
2023-08-16,0.06847078203010407,0.050231032906534794,-0.011968054340935695,-0.018239749123569272,-0.08043883637103977
2023-08-17,0.12637830434440603,0.10203848150434175,-0.0059171652391991365,-0.02433982284006428,-0.13229546958360516
2023-08-18,0.08865222178868702,0.07322869221682271,0.007137569827636215,-0.015423529571864311,-0.0815146519610508
2023-08-21,0.11493594438936823,0.09725844562053265,-0.006050891901559481,-0.01767749876883558,-0.12098683629092771
2023-08-22,0.11536204926035433,0.11352553592915046,0.004200502505587251,-0.0018365133312038678,-0.11116154675476708
2023-08-23,0.10544195967924781,0.1059397430787267,-0.0032038201529726953,0.0004977833994788822,-0.10864577983222051
2023-08-24,0.13644465837185948,0.10992557361252883,0.025775402108766828,-0.026519084759330652,-0.11066925626309265
2023-08-25,0.12326867466896974,0.12796526126169314,0.08023503943525068,0.004696586592723401,-0.04303363523371906
2023-08-28,0.09002882236419514,0.06341429106192235,0.04318399180248048,-0.026614531302272787,-0.04684483056171466
2023-08-29,0.10180367620401824,0.05380050014587009,-0.021195474180775026,-0.048003176058148155,-0.12299915038479327
