factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
MA_RATIO_250,-0.0073,0.1894,-0.0385,-0.1368,0.458,-1.3157,-0.366,0.188539,0.714403,0.471016
LIMIT_UP_SPACE,-0.0013,0.1219,-0.011,-0.0389,0.4837,-0.3747,-0.1292,0.707984,0.897223,0.196102
VSTD_5,-0.0027,0.0765,-0.0348,-0.1236,0.4717,-1.1887,-0.5844,0.234818,0.559092,0.263623
ROC_STD_20,0.0108,0.1353,0.0798,0.2834,0.5489,2.7263,0.8374,0.006501,0.402545,0.423481
ROC_STD_120,-0.0006,0.1606,-0.0038,-0.0133,0.542,-0.1283,-0.0366,0.897898,0.970788,0.45402
MAX_RATIO_60,0.0087,0.1377,0.0633,0.2247,0.5,2.1613,0.6684,0.030874,0.503997,0.701811
TURNOVER_SURGE_5,0.0067,0.0916,0.0731,0.2594,0.5232,2.4957,3.0174,0.012707,0.002605,0.158072
MAX_RATIO_10,-0.0005,0.1352,-0.0034,-0.012,0.5009,-0.1157,-0.0467,0.907877,0.962791,0.411431
MOM_ACC_60_120,-0.0106,0.1594,-0.0663,-0.2355,0.488,-2.2654,-0.643,0.02367,0.520332,0.416874
MA_RATIO_10,-0.0057,0.1443,-0.0398,-0.1412,0.4631,-1.358,-0.5619,0.174742,0.574293,0.573327
AMIHUD_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
AMIHUD_20_LN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MAX_RATIO_250,-0.0021,0.1513,-0.0138,-0.049,0.4811,-0.4718,-0.1341,0.637164,0.893346,0.776152
MAX_RATIO_5,-0.0,0.1291,-0.0001,-0.0005,0.4974,-0.0045,-0.0023,0.996401,0.998198,0.214668
ROC250,0.0221,0.1968,0.1121,0.3979,0.5815,3.8276,1.0478,0.000136,0.294929,0.992272
VMA_RATIO_60,-0.0071,0.0965,-0.0732,-0.2598,0.4777,-2.4995,-0.9978,0.012572,0.318588,0.620218
KSFT,-0.0058,0.1294,-0.0449,-0.1593,0.4983,-1.5328,-1.5784,0.1256,0.114747,0.652568
ROC5,0.0045,0.142,0.0318,0.1127,0.5223,1.0843,0.5159,0.278464,0.605991,0.540094
