factor_name,abs_rank_ic,rank_ic,rank_ic_ir,monotonicity,sign_stability,net_sharpe,turnover,missing_ratio,coverage_ratio,is_redundant,recommended_direction,selection_score
MA_RATIO_250,0.0175,0.0175,0.3586,0.1,0.8333,1.4901,0.0589,0.0188,0.9812,1.0,1,-0.3874
LIMIT_UP_SPACE,0.0135,-0.0135,0.4484,0.0,0.8333,0.6652,0.544,0.0,1.0,0.0,-1,-0.4307
VSTD_5,0.0062,-0.0062,0.2921,0.6,0.5,1.2527,0.3904,0.0002,0.9998,0.0,-1,-0.4574
ROC_STD_20,0.0133,-0.0133,0.3538,0.1,0.6667,1.4521,0.1781,0.0012,0.9988,1.0,-1,-0.4607
ROC_STD_120,0.0157,-0.0157,0.3634,0.1,0.6667,1.2525,0.0781,0.0082,0.9918,1.0,-1,-0.4863
MAX_RATIO_60,0.0076,0.0076,0.1888,0.1,0.6667,2.588,0.1006,0.0038,0.9962,1.0,1,-0.4995
TURNOVER_SURGE_5,0.0043,0.0043,0.171,0.5,0.8333,1.4538,0.6827,0.0002,0.9998,1.0,1,-0.5129
MAX_RATIO_10,0.0106,-0.0106,0.2827,0.1,0.6667,1.2871,0.3343,0.0005,0.9995,0.0,-1,-0.5176
MOM_ACC_60_120,0.0165,-0.0165,0.3885,0.0,0.3333,1.7629,0.0232,0.0082,0.9918,0.0,-1,-0.5541
MA_RATIO_10,0.0071,0.0071,0.189,0.3,0.6667,1.7037,0.2886,0.0005,0.9995,1.0,1,-0.5565
AMIHUD_20,0.0,0.0,0.0,1.0,0.0,3.3421,0.0396,0.0012,0.9988,1.0,1,-0.5893
AMIHUD_20_LN,0.0,0.0,0.0,1.0,0.0,3.3421,0.0396,0.0012,0.9988,1.0,1,-0.5893
MAX_RATIO_250,0.007,-0.007,0.1562,0.3,0.5,2.4988,0.0765,0.0188,0.9812,0.0,-1,-0.5988
MAX_RATIO_5,0.011,-0.011,0.3108,0.1,0.6667,1.3288,0.469,0.0002,0.9998,1.0,-1,-0.6084
ROC250,0.0013,0.0013,0.0246,0.3,0.8333,2.545,0.0503,0.0189,0.9811,1.0,1,-0.648
VMA_RATIO_60,0.0047,0.0047,0.1792,0.3,0.6667,1.1254,0.4546,0.0038,0.9962,0.0,1,-0.6809
KSFT,0.0026,-0.0026,0.0763,0.3,0.8333,1.7187,0.7552,0.0,1.0,1.0,-1,-0.6903
ROC5,0.0066,-0.0066,0.178,0.1,0.6667,1.5425,0.3438,0.0003,0.9997,1.0,-1,-0.7254
MA_RATIO_5,0.0037,0.0037,0.1021,0.3,0.6667,1.5952,0.4254,0.0002,0.9998,1.0,1,-0.7285
AMOUNT_RATIO_5_20,0.0004,-0.0004,0.0156,0.3,0.5,1.8534,0.2038,0.0011,0.9989,0.0,-1,-0.795
TURNOVER_SURGE_20,0.0041,0.0041,0.1658,0.1,0.6667,1.7362,0.5307,0.0011,0.9989,1.0,1,-0.7986
MAX_RATIO_20,0.0079,-0.0079,0.2016,0.1,0.5,1.4353,0.2351,0.0011,0.9989,1.0,-1,-0.809
IS_LIMIT_DOWN_LAG1,0.0005,0.0005,0.0335,0.4,0.6667,1.0239,0.6105,0.0,1.0,0.0,1,-0.8192
ENTITY_RATIO,0.0011,-0.0011,0.0473,0.5,0.6667,0.7732,0.7857,0.0,1.0,0.0,-1,-0.8202
KMID,0.0036,-0.0036,0.1056,0.1,0.8333,1.3799,0.7656,0.0,1.0,1.0,-1,-0.8252
INTRADAY_CLOSE_LOC,0.001,-0.001,0.0335,0.6,0.5,1.0616,0.7763,0.0,1.0,1.0,-1,-0.9442
MAX_RATIO_30,0.0024,-0.0024,0.0614,0.3,0.3333,1.8423,0.1913,0.0018,0.9982,1.0,-1,-0.9513
MAX_RATIO_120,0.0022,-0.0022,0.052,0.0,0.5,2.3213,0.103,0.0082,0.9918,1.0,-1,-0.9712
LOWER_SHADOW_RATIO,0.0003,-0.0003,0.0117,0.6,0.3333,1.0747,0.7754,0.0,1.0,0.0,-1,-0.9927
UPPER_SHADOW_RATIO,0.0001,0.0001,0.0058,0.2,0.5,1.1043,0.7828,0.0,1.0,0.0,1,-1.1026
KMID2,0.0,0.0,0.0013,0.3,0.5,0.8035,0.7704,0.0,1.0,1.0,1,-1.2006
