factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_p_value,rank_ic_fdr_p_value,recommended_direction
VSTD_60,0.1258,0.5094,0.247,0.8768,0.5998,7.1246,0.0,0.0,1
STD60,-0.1001,0.4805,-0.2084,-0.7397,0.3774,-6.0105,0.0,0.0,-1
MAX_RATIO_250,-0.0931,0.4686,-0.1987,-0.7053,0.433,-5.0343,1e-06,2.6e-05,-1
STD10,-0.0709,0.5027,-0.1411,-0.5008,0.4195,-4.1902,3.1e-05,0.000612,-1
ROC_STD_20,0.067,0.5033,0.133,0.4722,0.5316,3.926,9.3e-05,0.001072,1
ROC20,0.0677,0.5098,0.1328,0.4715,0.527,3.9205,9.5e-05,0.001072,1
STD120,-0.0639,0.5178,-0.1234,-0.4381,0.421,-3.4295,0.000637,0.005032,-1
STD20,-0.0685,0.5065,-0.1353,-0.4803,0.4197,-3.9953,7e-05,0.001072,-1
STD30,-0.0538,0.4948,-0.1086,-0.3857,0.4258,-3.1899,0.001475,0.010593,-1
MAX_RATIO_30,-0.0644,0.5212,-0.1235,-0.4384,0.4559,-3.6261,0.000305,0.003012,-1
CORR_PV_20,0.0465,0.528,0.088,0.3123,0.5206,2.5984,0.009523,0.041795,1
VSTD_20,0.0477,0.4664,0.1024,0.3634,0.5138,3.0234,0.002573,0.014519,1
MA_RATIO_60,-0.0609,0.4967,-0.1226,-0.435,0.4315,-3.5349,0.00043,0.003774,-1
MIN_RATIO_120,-0.0521,0.4786,-0.1089,-0.3866,0.4288,-3.0264,0.002558,0.014519,-1
WVMA_10,-0.0381,0.5177,-0.0737,-0.2614,0.4364,-2.1761,0.029812,0.094206,-1
ROC30,0.0491,0.4945,0.0993,0.3526,0.5099,2.9147,0.003652,0.019234,1
MAX_RATIO_60,-0.0537,0.4974,-0.1079,-0.3829,0.4567,-3.1112,0.001927,0.012686,-1
CORR_PV_10,0.0337,0.5081,0.0663,0.2352,0.5147,1.9678,0.049403,0.134581,1
ATR_RATIO_60,-0.0474,0.4897,-0.0968,-0.3438,0.4176,-2.7917,0.005363,0.02648,-1
MA_RATIO_120,-0.0438,0.4792,-0.0914,-0.3243,0.4663,-2.5386,0.011326,0.046973,-1
MA_RATIO_250,-0.0453,0.4733,-0.0957,-0.3395,0.4174,-2.4236,0.015645,0.05618,-1
MOM_ACC_20_60,0.0432,0.494,0.0874,0.3102,0.4892,2.5209,0.011892,0.046973,1
