factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,daily_gross_mean_return,daily_net_mean_return,annualized_return,annualized_volatility,sharpe_ratio,net_sharpe_10bps,turnover,long_turnover,short_turnover,max_drawdown,win_rate,long_only_excess_annual_return,long_only_excess_sharpe,sign_stability,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
MIN_RATIO_250,REJECT,REJECT,-0.2753,-1,10D,-0.0282,0.4733,-0.0596,-0.2115,-1.5097,-0.4808,0.131602,0.630835,1.0,0.3956,-0.0581,0.4687,-0.1239,-0.4398,0.4128,-3.1391,-0.9435,0.001772,0.345763,1.0,-0.1,-5.7e-05,-0.000167,-0.0411,0.1291,-0.1108,-0.325,0.0618,0.0278,0.0958,-0.2835,0.4992,0.0697,0.3905,0.6667,-0.1244,0.0166,-0.0092,0.7267,0.2733,0
ROC120,REJECT,REJECT,-0.2944,1,20D,0.027,0.4886,0.0553,0.1964,1.5362,0.4735,0.124901,0.636003,1.0,0.4916,0.0082,0.4975,0.0164,0.0583,0.5175,0.4562,0.1333,0.648391,0.894003,1.0,0.3,-0.000252,-0.000364,-0.0876,0.1288,-0.4937,-0.7122,0.0719,0.0642,0.0796,-0.3426,0.4788,-0.0009,-0.0052,0.5,0.148,-0.0199,-0.0004,0.8683,0.1317,11
UPPER_SHADOW_RATIO,REJECT,REJECT,-0.3219,-1,5D,-0.0049,0.5241,-0.0094,-0.0334,-0.2812,-0.2718,0.778586,0.785847,1.0,0.4646,-0.0075,0.5119,-0.0147,-0.052,0.4804,-0.4375,-0.4044,0.661832,0.685981,1.0,-0.6,-0.000203,-0.001309,-0.2811,0.1347,-0.379,-2.4489,0.7314,0.7128,0.75,-0.7338,0.4482,-0.0461,-0.265,0.75,0.019,-0.0533,0.0032,1.0,0.0,0
ROC10,REJECT,REJECT,-0.3821,1,20D,0.0174,0.5172,0.0337,0.1196,0.9998,0.4227,0.317669,0.672584,1.0,0.4915,0.0028,0.5078,0.0055,0.0195,0.4972,0.1631,0.0662,0.870514,0.947272,1.0,0.4,-1.4e-05,-0.000409,-0.098,0.1261,-0.0285,-0.8175,0.2537,0.2251,0.2823,-0.341,0.4891,0.029,0.1612,0.5,-0.036,-0.0136,0.0445,0.989,0.011,5
ATR_RATIO_5,REJECT,REJECT,-0.4045,1,10D,0.0234,0.5091,0.0459,0.1631,1.3674,0.7629,0.171858,0.445718,1.0,0.5023,0.0272,0.5086,0.0535,0.1899,0.5282,1.592,0.8701,0.11174,0.384482,1.0,0.3,0.00011,-0.000432,-0.1032,0.1283,0.2153,-0.8489,0.3557,0.3389,0.3725,-0.4251,0.4821,0.0427,0.2422,0.25,0.0,-0.0183,0.0442,0.9945,0.0055,0
MIN_RATIO_30,REJECT,REJECT,-0.4312,-1,3D,-0.0098,0.5064,-0.0194,-0.0687,-0.5686,-0.2042,0.569794,0.838223,1.0,0.4768,-0.0038,0.5064,-0.0074,-0.0263,0.5046,-0.2174,-0.074,0.827929,0.941031,1.0,-0.3,0.000105,-0.000211,-0.0518,0.1264,0.2095,-0.4206,0.1964,0.1538,0.2391,-0.2692,0.4994,0.0638,0.3456,0.75,-0.0289,0.0555,-0.0258,0.9682,0.0318,8
MIN_RATIO_20,REJECT,REJECT,-0.4813,-1,20D,-0.0156,0.5112,-0.0305,-0.1083,-0.9007,-0.3467,0.367979,0.728903,1.0,0.4713,-0.0078,0.5107,-0.0152,-0.0539,0.5092,-0.4485,-0.1622,0.653898,0.871185,1.0,-0.3,0.0001,-0.000281,-0.0684,0.1247,0.2019,-0.5683,0.2355,0.1798,0.2912,-0.2799,0.5023,0.0584,0.3228,0.5,0.0618,0.056,-0.0643,0.9791,0.0209,8
MIN_RATIO_5,REJECT,REJECT,-0.5259,1,10D,0.0096,0.5045,0.019,0.0674,0.5658,0.3332,0.571703,0.739066,1.0,0.4837,0.0196,0.5042,0.0389,0.138,0.5209,1.1574,0.6517,0.247403,0.514733,1.0,-0.3,-8.4e-05,-0.00073,-0.168,0.1296,-0.1626,-1.4189,0.4448,0.4871,0.4026,-0.543,0.4648,-0.0146,-0.0856,0.5,0.0169,0.0032,0.0094,0.9956,0.0044,0
KUP,REJECT,REJECT,-0.5343,-1,1D,-0.0103,0.5148,-0.02,-0.071,-0.5967,-0.6002,0.550871,0.548517,1.0,0.4646,-0.002,0.5151,-0.0038,-0.0135,0.4882,-0.1134,-0.1165,0.909734,0.907308,1.0,-0.1,-0.000289,-0.001403,-0.298,0.1306,-0.5571,-2.7071,0.7403,0.7329,0.7477,-0.734,0.4395,-0.0329,-0.1895,0.75,0.0268,-0.0225,-0.0178,1.0,0.0,0
MIN_RATIO_10,REJECT,REJECT,-0.5385,1,1D,0.0046,0.5113,0.009,0.0318,0.2663,0.1213,0.790097,0.903452,1.0,0.4819,0.0136,0.522,0.0261,0.0925,0.5159,0.7742,0.3436,0.439019,0.731215,1.0,-0.4,8e-05,-0.00036,-0.0868,0.1291,0.1555,-0.7033,0.3168,0.3873,0.2462,-0.3872,0.474,0.0178,0.1006,0.5,0.0507,0.0473,-0.0239,0.9901,0.0099,0
VSTD_5,REJECT,REJECT,-0.5526,1,3D,0.0072,0.5066,0.0142,0.0504,0.4225,0.2401,0.672779,0.810306,1.0,0.478,0.0068,0.5105,0.0133,0.047,0.4938,0.3947,0.2155,0.693177,0.829434,1.0,-0.3,0.000341,-0.000175,-0.0432,0.1313,0.6547,-0.3363,0.3443,0.3443,0.3443,-0.2002,0.4773,0.0308,0.1726,0.5,0.0972,0.0065,-0.0207,0.9956,0.0044,0
ENTITY_RATIO,REJECT,REJECT,-0.556,-1,1D,-0.001,0.5072,-0.0019,-0.0068,-0.0568,-0.0568,0.954731,0.954718,1.0,0.4714,-0.0006,0.5143,-0.0011,-0.0041,0.5051,-0.0342,-0.0338,0.97276,0.973075,1.0,-0.6,-0.000417,-0.001502,-0.3154,0.1316,-0.7977,-2.8765,0.7276,0.7389,0.7162,-0.7454,0.4177,-0.0118,-0.0687,0.5,0.0049,-0.0315,0.0071,1.0,0.0,0
KLEN,REJECT,REJECT,-0.5705,1,10D,0.0134,0.5037,0.0267,0.0948,0.797,0.8135,0.425673,0.416147,1.0,0.4871,0.0261,0.5172,0.0504,0.1789,0.514,1.5046,1.5992,0.132791,0.110124,1.0,0.2,0.000315,-0.000807,-0.184,0.1277,0.622,-1.5918,0.744,0.7321,0.756,-0.5788,0.4472,0.0463,0.2644,0.5,0.0235,0.0183,0.0088,1.0,0.0,0
ROC250,REJECT,REJECT,-0.6273,-1,5D,-0.0105,0.4936,-0.0212,-0.0753,-0.5371,-0.1698,0.591386,0.865221,1.0,0.4836,0.0233,0.4946,0.0471,0.1673,0.5351,1.1935,0.3553,0.233099,0.722489,1.0,0.6,-0.000215,-0.000293,-0.0711,0.1272,-0.4269,-0.5802,0.0477,0.0359,0.0594,-0.3166,0.4672,0.0195,0.1089,0.3333,0.0053,-0.0844,0.0107,0.7256,0.2744,12
VMA_RATIO_5,REJECT,REJECT,-0.647,1,3D,0.0035,0.5178,0.0068,0.0243,0.2038,0.267,0.838567,0.789549,1.0,0.4589,0.0,0.5113,0.0001,0.0003,0.4848,0.0029,0.0043,0.997716,0.996609,1.0,-0.3,-7.1e-05,-0.001236,-0.2678,0.1328,-0.1356,-2.3457,0.7684,0.7446,0.7923,-0.6849,0.4302,0.0081,0.0464,0.75,0.0061,0.0151,-0.001,0.9956,0.0044,13
MAX_RATIO_10,REJECT,REJECT,-0.6557,-1,5D,-0.0055,0.5247,-0.0104,-0.0371,-0.31,-0.1393,0.756622,0.889261,1.0,0.4626,-0.0087,0.5245,-0.0166,-0.0591,0.4909,-0.4941,-0.2106,0.621325,0.833248,1.0,-0.2,9.2e-05,-0.000423,-0.1011,0.1272,0.1821,-0.8379,0.3555,0.3921,0.3189,-0.3607,0.4604,0.0837,0.4511,0.5,-0.0151,-0.0236,0.0035,0.9901,0.0099,0
KMID2,REJECT,REJECT,-0.6645,1,3D,0.0167,0.4925,0.0338,0.12,1.0094,1.0989,0.313061,0.272111,1.0,0.4871,0.0135,0.5027,0.0268,0.0951,0.5028,0.7999,0.8685,0.42401,0.385338,1.0,0.1,2.5e-05,-0.001069,-0.2363,0.1331,0.048,-2.025,0.7285,0.7245,0.7324,-0.6336,0.4603,0.053,0.2876,0.5,0.0322,0.0159,0.0121,1.0,0.0,1
CORR_PV_5,REJECT,REJECT,-0.6754,1,10D,0.0052,0.5129,0.01,0.0357,0.2999,0.1924,0.764333,0.847481,1.0,0.4893,0.0038,0.5158,0.0074,0.0263,0.4994,0.2213,0.1381,0.82489,0.890179,1.0,0.2,7e-05,-0.000632,-0.1474,0.1293,0.137,-1.2326,0.4641,0.451,0.4772,-0.4573,0.4772,0.0495,0.2783,0.5,-0.0414,0.0004,0.0211,1.0,0.0,0
MA_RATIO_10,REJECT,REJECT,-0.6983,-1,3D,-0.0014,0.5211,-0.0028,-0.0098,-0.082,-0.0359,0.934673,0.9714,1.0,0.4739,0.004,0.5236,0.0076,0.0269,0.5125,0.2253,0.097,0.821833,0.922711,1.0,-0.4,-0.000141,-0.000614,-0.1435,0.1292,-0.2757,-1.1981,0.3092,0.2908,0.3276,-0.4364,0.454,0.026,0.1461,0.5,0.0507,-0.0202,-0.0117,0.9901,0.0099,3
VMA_RATIO_60,REJECT,REJECT,-0.7112,1,3D,0.0021,0.5042,0.0042,0.015,0.1216,0.1285,0.903229,0.897774,1.0,0.4808,-0.0009,0.5097,-0.0018,-0.0064,0.494,-0.0524,-0.0519,0.958222,0.958621,1.0,0.3,0.000106,-0.00103,-0.2287,0.1326,0.2013,-1.9583,0.7551,0.7485,0.7618,-0.5858,0.4462,0.075,0.4236,0.75,-0.0048,0.0242,-0.0029,0.9352,0.0648,14
ROC_STD_250,REJECT,REJECT,-0.782,-1,10D,-0.0058,0.4897,-0.0118,-0.0418,-0.2984,-0.0947,0.765529,0.92457,1.0,0.4961,0.0281,0.491,0.0572,0.2029,0.5398,1.4473,0.4333,0.14829,0.664916,1.0,0.5,-0.000219,-0.000301,-0.073,0.1285,-0.43,-0.5893,0.0508,0.0406,0.0609,-0.3112,0.4672,0.0261,0.145,0.3333,0.0099,-0.0756,0.0139,0.7256,0.2744,12
ROC5,REJECT,REJECT,-0.7827,-1,10D,-0.0005,0.5318,-0.0009,-0.0031,-0.0256,-0.0128,0.979584,0.989809,1.0,0.4673,-0.0078,0.5292,-0.0147,-0.0521,0.5034,-0.4367,-0.2075,0.662438,0.835665,1.0,0.3,-0.000116,-0.000622,-0.1451,0.1295,-0.2252,-1.2102,0.3431,0.36,0.3262,-0.4745,0.4729,-0.0126,-0.0721,0.5,-0.0519,0.0249,0.0074,0.9945,0.0055,3
VMA_RATIO_20,REJECT,REJECT,-0.854,1,5D,0.0047,0.5091,0.0091,0.0325,0.2701,0.2808,0.787126,0.778925,1.0,0.4782,0.0042,0.5158,0.0081,0.0287,0.5046,0.2386,0.2231,0.811502,0.823506,1.0,-0.2,-0.00016,-0.001286,-0.277,0.1335,-0.3025,-2.4278,0.7459,0.7319,0.7599,-0.6861,0.4371,0.027,0.1563,0.5,-0.0105,0.0015,0.0106,0.9791,0.0209,14
KMID,REJECT,REJECT,-0.8559,-1,3D,-0.0006,0.4934,-0.0013,-0.0046,-0.0388,-0.043,0.969023,0.965693,1.0,0.4747,-0.0024,0.5014,-0.0049,-0.0173,0.4938,-0.1451,-0.1511,0.884685,0.879941,1.0,-0.3,0.00026,-0.000861,-0.1952,0.1312,0.4991,-1.6545,0.7486,0.752,0.7451,-0.5776,0.4567,0.117,0.6378,0.5,0.0367,0.0137,-0.0168,1.0,0.0,1
AMIHUD_20_LN,REJECT,REJECT,-1.0784,1,1D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3,-2.9e-05,-0.0002,-0.0492,0.1322,-0.0561,-0.3813,0.1162,0.1235,0.1089,-0.3225,0.4714,0.0644,0.3417,0.0,0.0,0.0,0.0,0.9791,0.0209,15
AMIHUD_20,REJECT,REJECT,-1.0784,1,1D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3,-2.9e-05,-0.0002,-0.0492,0.1322,-0.0561,-0.3813,0.1162,0.1235,0.1089,-0.3225,0.4714,0.0644,0.3417,0.0,0.0,0.0,0.0,0.9791,0.0209,15
IS_LIMIT_UP_LAG1,REJECT,REJECT,-1.1304,1,1D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
IS_LIMIT_DOWN_LAG1,REJECT,REJECT,-1.1304,1,1D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
LOG_CIRC_MV,REJECT,REJECT,-1.1304,1,1D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
TURNOVER_SURGE_5,REJECT,REJECT,-1.1333,1,1D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956,0.0044,0
TURNOVER_SURGE_20,REJECT,REJECT,-1.1443,1,1D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791,0.0209,0
TURNOVER_STD_20,REJECT,REJECT,-1.1443,1,1D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791,0.0209,0
