factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,daily_gross_mean_return,daily_net_mean_return,annualized_return,annualized_volatility,sharpe_ratio,net_sharpe_10bps,turnover,long_turnover,short_turnover,max_drawdown,win_rate,long_only_excess_annual_return,long_only_excess_sharpe,sign_stability,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
CORR_PV_10,REJECT,REJECT,0.461,1,10D,0.0448,0.507,0.0884,0.3137,2.6381,1.3275,0.008482,0.18469,1.0,0.5107,0.0357,0.5246,0.0681,0.2419,0.514,2.034,0.9618,0.042247,0.336431,1.0,0.5,0.000498,-2.9e-05,-0.0072,0.1313,0.9558,-0.0551,0.346,0.3307,0.3614,-0.2104,0.4886,0.0673,0.3673,0.75,0.1051,0.0566,0.0223,1.0,0.0,0
ATR_RATIO_20,REJECT,REJECT,0.4145,-1,20D,-0.0349,0.5089,-0.0686,-0.2435,-2.0247,-0.7571,0.043208,0.449205,1.0,0.4478,-0.0179,0.5218,-0.0343,-0.1219,0.4811,-1.0131,-0.3544,0.311278,0.723106,1.0,-0.7,-0.000156,-0.00041,-0.0981,0.131,-0.3002,-0.7879,0.1723,0.1821,0.1624,-0.3918,0.4826,-0.0227,-0.1312,0.75,-0.1219,0.0447,-0.0336,0.978,0.022,0
MA_RATIO_30,REJECT,REJECT,0.4015,-1,20D,-0.0513,0.5044,-0.1017,-0.3611,-2.9867,-1.1081,0.0029,0.268144,1.0,0.4524,-0.052,0.4955,-0.105,-0.3726,0.4652,-3.0819,-1.1212,0.002123,0.262533,1.0,-0.6,-0.000148,-0.000431,-0.1028,0.1245,-0.2999,-0.8717,0.1834,0.169,0.1979,-0.3741,0.4803,0.0157,0.0874,0.5,-0.0724,0.0187,-0.0683,0.9682,0.0318,6
ATR_RATIO_60,REJECT,REJECT,0.3935,-1,20D,-0.0457,0.488,-0.0937,-0.3325,-2.6999,-0.9358,0.007076,0.349628,1.0,0.4188,-0.0432,0.4898,-0.0881,-0.3127,0.4753,-2.5397,-0.8316,0.011276,0.405876,1.0,-0.6,-2.6e-05,-0.000222,-0.0545,0.1281,-0.0517,-0.4373,0.1268,0.1153,0.1383,-0.3093,0.4915,0.0434,0.2423,0.5,-0.2198,0.0315,-0.0127,0.9341,0.0659,0
MAX_RATIO_20,REJECT,REJECT,0.393,-1,20D,-0.0523,0.5356,-0.0976,-0.3464,-2.8817,-1.1309,0.004053,0.258413,1.0,0.461,-0.0453,0.5298,-0.0856,-0.3037,0.4794,-2.5264,-0.9462,0.011699,0.344311,1.0,-0.6,-5.8e-05,-0.000398,-0.0955,0.1279,-0.1138,-0.7849,0.2423,0.2879,0.1967,-0.3308,0.4799,0.0423,0.2355,0.5,-0.0238,-0.0664,-0.0567,0.9791,0.0209,7
MIN_RATIO_120,REJECT,REJECT,0.3777,-1,20D,-0.0431,0.4756,-0.0906,-0.3214,-2.516,-0.8191,0.01207,0.412998,1.0,0.4326,-0.0546,0.4813,-0.1135,-0.4028,0.4301,-3.1531,-0.9584,0.001678,0.33818,1.0,-0.7,-0.000188,-0.000344,-0.083,0.1249,-0.3799,-0.6934,0.0916,0.0553,0.1278,-0.2905,0.4809,-0.0034,-0.02,0.5,-0.1669,-0.0331,-0.0019,0.8694,0.1306,0
STD5,REJECT,REJECT,0.3157,-1,10D,-0.0343,0.5018,-0.0684,-0.2429,-2.0382,-1.1529,0.041828,0.249248,1.0,0.451,-0.0368,0.5033,-0.0732,-0.2598,0.469,-2.1801,-1.1516,0.029514,0.249817,1.0,-0.6,-0.000134,-0.000696,-0.1609,0.1318,-0.2566,-1.3307,0.3756,0.379,0.3721,-0.491,0.4543,0.0258,0.1422,0.75,0.0023,-0.0716,-0.0337,0.9956,0.0044,0
MA_RATIO_120,REJECT,REJECT,0.2753,-1,20D,-0.0381,0.4833,-0.0788,-0.2796,-2.1888,-0.7156,0.028907,0.474426,1.0,0.4689,-0.0445,0.4833,-0.0921,-0.3269,0.4728,-2.5585,-0.7886,0.010703,0.430581,1.0,-0.6,-0.000445,-0.000553,-0.13,0.126,-0.8906,-1.1054,0.0723,0.0742,0.0703,-0.418,0.4831,-0.0241,-0.1423,0.75,-0.1867,-0.023,0.0102,0.8694,0.1306,10
WVMA_5,REJECT,REJECT,0.2579,-1,10D,-0.031,0.4973,-0.0623,-0.2211,-1.8512,-0.9002,0.064476,0.368245,1.0,0.4451,-0.0348,0.5117,-0.068,-0.2413,0.4689,-2.0203,-0.9741,0.043651,0.330269,1.0,-0.6,0.000161,-0.000338,-0.0817,0.13,0.3119,-0.6553,0.3385,0.3561,0.3208,-0.3546,0.4801,0.1073,0.5737,0.75,0.0353,-0.1424,-0.0153,0.9912,0.0088,0
MIN_RATIO_60,REJECT,REJECT,0.2038,-1,20D,-0.0363,0.4997,-0.0726,-0.2577,-2.0939,-0.7191,0.036574,0.47226,1.0,0.4459,-0.0385,0.4996,-0.0771,-0.2737,0.4688,-2.2238,-0.7201,0.026428,0.471678,1.0,-0.6,-0.000347,-0.000557,-0.1311,0.1266,-0.6919,-1.1098,0.1242,0.0772,0.1713,-0.4174,0.4692,-0.0401,-0.2333,0.5,-0.1956,0.0076,0.0029,0.9352,0.0648,0
