factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
MIN_RATIO_30,20D,-0.015,-0.3139,0.753689,1.0
MA_RATIO_30,1D,0.0018,0.1084,0.913712,1.0
MA_RATIO_30,3D,-0.0056,-0.2486,0.803699,1.0
MA_RATIO_30,5D,-0.0007,-0.0236,0.98121,1.0
MA_RATIO_30,10D,-0.0169,-0.4705,0.638144,1.0
MA_RATIO_30,20D,-0.0541,-1.1499,0.250485,1.0
ROC60,1D,0.0236,1.4062,0.160021,1.0
ROC60,3D,0.014,0.6144,0.539105,1.0
ROC60,5D,0.0074,0.2605,0.794541,1.0
ROC60,10D,0.0201,0.5386,0.590338,1.0
ROC60,20D,0.0221,0.4203,0.674391,1.0
MAX_RATIO_60,1D,-0.0166,-0.9547,0.340021,1.0
MAX_RATIO_60,3D,-0.0112,-0.4994,0.617639,1.0
MAX_RATIO_60,5D,-0.0106,-0.3762,0.706898,1.0
MAX_RATIO_60,10D,-0.0119,-0.3071,0.758838,1.0
MAX_RATIO_60,20D,-0.0589,-1.1498,0.250568,1.0
MIN_RATIO_60,1D,-0.0105,-0.6276,0.53044,1.0
MIN_RATIO_60,3D,-0.0229,-0.9959,0.319562,1.0
MIN_RATIO_60,5D,-0.0176,-0.6285,0.529815,1.0
MIN_RATIO_60,10D,-0.0298,-0.7842,0.433117,1.0
MIN_RATIO_60,20D,-0.0377,-0.7436,0.457357,1.0
MA_RATIO_60,1D,-0.0155,-0.9207,0.35749,1.0
MA_RATIO_60,3D,-0.0176,-0.7781,0.436721,1.0
MA_RATIO_60,5D,-0.0159,-0.5686,0.569755,1.0
MA_RATIO_60,10D,-0.0262,-0.6958,0.486735,1.0
MA_RATIO_60,20D,-0.0558,-1.0919,0.275174,1.0
ROC120,1D,0.0114,0.6593,0.509882,1.0
ROC120,3D,0.007,0.2891,0.772547,1.0
ROC120,5D,0.0099,0.3512,0.725508,1.0
ROC120,10D,0.0315,0.8104,0.417981,1.0
ROC120,20D,0.0215,0.368,0.712977,1.0
MAX_RATIO_120,1D,-0.0106,-0.5766,0.56436,1.0
MAX_RATIO_120,3D,0.0055,0.2199,0.825971,1.0
MAX_RATIO_120,5D,0.0032,0.1048,0.91655,1.0
MAX_RATIO_120,10D,-0.0114,-0.2774,0.781518,1.0
MAX_RATIO_120,20D,-0.0247,-0.4409,0.659417,1.0
MIN_RATIO_120,1D,-0.0275,-1.6266,0.104221,1.0
MIN_RATIO_120,3D,-0.019,-0.8038,0.421774,1.0
MIN_RATIO_120,5D,-0.0198,-0.702,0.482859,1.0
MIN_RATIO_120,10D,-0.0321,-0.8276,0.408135,1.0
MIN_RATIO_120,20D,-0.0394,-0.7396,0.459747,1.0
MA_RATIO_120,1D,-0.0176,-1.014,0.310886,1.0
MA_RATIO_120,3D,-0.0041,-0.1751,0.86102,1.0
MA_RATIO_120,5D,-0.0071,-0.2503,0.802422,1.0
MA_RATIO_120,10D,-0.023,-0.5956,0.551633,1.0
MA_RATIO_120,20D,-0.0311,-0.5685,0.569872,1.0
ROC250,1D,0.0033,0.1801,0.857147,1.0
ROC250,3D,0.0092,0.354,0.723424,1.0
ROC250,5D,0.0074,0.2285,0.819321,1.0
ROC250,10D,0.0167,0.3729,0.709337,1.0
ROC250,20D,-0.0023,-0.0376,0.970012,1.0
MAX_RATIO_250,1D,-0.0206,-1.0841,0.278727,1.0
MAX_RATIO_250,3D,-0.0261,-1.0032,0.316141,1.0
MAX_RATIO_250,5D,-0.0321,-1.0305,0.30317,1.0
MAX_RATIO_250,10D,-0.0668,-1.6252,0.104608,1.0
MAX_RATIO_250,20D,-0.0924,-1.6613,0.097149,1.0
MIN_RATIO_250,1D,-0.0072,-0.4007,0.688792,1.0
MIN_RATIO_250,3D,-0.0103,-0.3994,0.689692,1.0
MIN_RATIO_250,5D,-0.0164,-0.5035,0.614751,1.0
MIN_RATIO_250,10D,-0.0345,-0.798,0.425189,1.0
MIN_RATIO_250,20D,-0.0352,-0.6046,0.545678,1.0
MA_RATIO_250,1D,-0.01,-0.5389,0.590141,1.0
MA_RATIO_250,3D,-0.0153,-0.5882,0.556589,1.0
MA_RATIO_250,5D,-0.0261,-0.8295,0.407098,1.0
MA_RATIO_250,10D,-0.048,-1.1076,0.268453,1.0
MA_RATIO_250,20D,-0.0372,-0.6358,0.52514,1.0
STD5,1D,-0.0263,-1.6039,0.109095,1.0
STD5,3D,-0.0282,-1.3811,0.167579,1.0
STD5,5D,-0.0287,-1.248,0.212369,1.0
STD5,10D,-0.0562,-2.0817,0.037656,0.829539
STD5,20D,-0.0274,-0.9059,0.365233,1.0
STD10,1D,-0.0191,-1.1858,0.236016,1.0
STD10,3D,-0.0309,-1.4698,0.141966,1.0
STD10,5D,-0.044,-1.762,0.078411,1.0
STD10,10D,-0.0752,-2.3076,0.021249,0.811804
STD10,20D,-0.0769,-1.8878,0.059382,0.908789
STD20,1D,-0.0017,-0.0997,0.920577,1.0
STD20,3D,-0.0098,-0.4389,0.660831,1.0
STD20,5D,-0.0136,-0.5162,0.605873,1.0
STD20,10D,-0.0634,-1.7666,0.077634,1.0
STD20,20D,-0.0803,-1.614,0.106892,1.0
STD30,1D,-0.0204,-1.2559,0.209481,1.0
STD30,3D,-0.0217,-0.9549,0.339871,1.0
STD30,5D,-0.031,-1.1358,0.256337,1.0
STD30,10D,-0.0678,-1.8536,0.064132,0.938227
STD30,20D,-0.0631,-1.2323,0.218164,1.0
STD60,1D,-0.0263,-1.5426,0.123288,1.0
STD60,3D,-0.0476,-2.0489,0.040777,0.829539
STD60,5D,-0.0618,-2.1699,0.030296,0.811804
STD60,10D,-0.0888,-2.2243,0.026397,0.811804
STD60,20D,-0.1066,-2.0741,0.038377,0.829539
STD120,1D,-0.0421,-2.4309,0.015284,0.811804
STD120,3D,-0.0465,-1.9084,0.056701,0.908789
STD120,5D,-0.0646,-2.1632,0.030828,0.811804
STD120,10D,-0.081,-1.9711,0.049065,0.88094
STD120,20D,-0.0679,-1.1309,0.258449,1.0
STD250,1D,-0.0181,-0.9722,0.331309,1.0
STD250,3D,-0.0279,-1.0985,0.272401,1.0
STD250,5D,-0.0283,-0.9059,0.36534,1.0
STD250,10D,-0.0349,-0.7382,0.460683,1.0
STD250,20D,-0.0419,-0.6203,0.535306,1.0
ATR_RATIO_5,1D,-0.0107,-0.6695,0.50336,1.0
ATR_RATIO_5,3D,0.0199,0.9393,0.347843,1.0
ATR_RATIO_5,5D,0.0245,1.0223,0.306928,1.0
ATR_RATIO_5,10D,0.021,0.7388,0.460211,1.0
ATR_RATIO_5,20D,0.0188,0.5937,0.552836,1.0
ATR_RATIO_20,1D,0.0073,0.432,0.665872,1.0
ATR_RATIO_20,3D,0.0213,0.9324,0.351402,1.0
ATR_RATIO_20,5D,0.0177,0.6279,0.530235,1.0
ATR_RATIO_20,10D,-0.0121,-0.3141,0.753514,1.0
ATR_RATIO_20,20D,-0.0247,-0.5313,0.595328,1.0
ATR_RATIO_60,1D,-0.0087,-0.5029,0.61518,1.0
ATR_RATIO_60,3D,0.0021,0.093,0.925941,1.0
ATR_RATIO_60,5D,-0.0042,-0.1499,0.880841,1.0
ATR_RATIO_60,10D,-0.0168,-0.4514,0.651854,1.0
ATR_RATIO_60,20D,-0.0401,-0.7944,0.427185,1.0
ROC_STD_20,1D,-0.0111,-0.6641,0.506784,1.0
ROC_STD_20,3D,0.0067,0.3015,0.763093,1.0
ROC_STD_20,5D,0.0105,0.3889,0.697437,1.0
ROC_STD_20,10D,0.032,0.9304,0.352425,1.0
ROC_STD_20,20D,0.0713,1.5832,0.113738,1.0
ROC_STD_60,1D,0.0253,1.4918,0.13613,1.0
ROC_STD_60,3D,0.0169,0.7462,0.455776,1.0
ROC_STD_60,5D,0.0102,0.3551,0.722598,1.0
ROC_STD_60,10D,0.0246,0.6513,0.515013,1.0
ROC_STD_60,20D,0.0232,0.4396,0.660325,1.0
