comparison,type,common_dates,mean_diff,ci_95_lower,ci_95_upper,ci_97_5_lower,ci_97_5_upper,prob_positive,robust_improvement_97_5
regression_vs_classification,primary_candidate,743,0.0030255765695101394,-0.024591974852965985,0.032127379796810525,-0.02836919016195842,0.03559074635912439,0.6115,False
lambdarank_vs_classification,primary_candidate,743,-0.007435245880080397,-0.025562791240784713,0.012253779339405444,-0.028552602953867887,0.014842783253781801,0.248,False
lambdarank_vs_regression,exploratory,743,-0.01046082244959054,-0.03621369608195661,0.014034891896780432,-0.0389041305992349,0.017104923354193873,0.20925,False
