,classification_rankic,regression_rankic,lambdarank_rankic,reg_minus_clf,rank_minus_clf
2023-07-03,0.284112857236344,0.2003923423266867,0.20239746837809794,-0.08372051490965729,-0.08171538885824606
2023-07-04,0.31833415913319063,0.22706369298046708,0.2169617732571728,-0.09127046615272355,-0.10137238587601782
2023-07-05,0.3074532332401583,0.25668214230321,0.21534117999009045,-0.05077109093694826,-0.09211205325006783
2023-07-06,0.3099381117540924,0.26228381369338305,0.2296175455981752,-0.047654298060709366,-0.0803205661559172
2023-07-07,0.23042786915916622,0.16845410406923883,0.17445078557531715,-0.061973765089927385,-0.05597708358384906
2023-07-10,0.1675134235387843,0.1454729836970192,0.13434616954116738,-0.022040439841765097,-0.03316725399761691
2023-07-11,0.2353651126048221,0.15953435073683161,0.17233960006357105,-0.07583076186799048,-0.06302551254125105
2023-07-12,0.2271160997218901,0.13791594759570422,0.16358785461729602,-0.08920015212618587,-0.06352824510459407
2023-07-13,0.2893434761823148,0.21706928218505284,0.2240974113625493,-0.07227419399726198,-0.06524606481976553
2023-07-14,0.3224580492454119,0.24532140593105425,0.254783166060117,-0.07713664331435763,-0.06767488318529491
2023-07-17,0.26624066241109284,0.2097937147416375,0.20367758796320004,-0.05644694766945535,-0.0625630744478928
2023-07-18,0.3004882698038049,0.18074580012343788,0.20324025166640183,-0.119742469680367,-0.09724801813740305
2023-07-19,0.33129049145998307,0.21394336785086598,0.219281180177064,-0.11734712360911709,-0.11200931128291908
2023-07-20,0.24287308571011115,0.1424383706646089,0.15208890602825512,-0.10043471504550225,-0.09078417968185604
2023-07-21,0.26620640010470525,0.11936374146251257,0.14904014194099008,-0.1468426586421927,-0.11716625816371518
2023-07-24,0.2801524536495692,0.10672115095758852,0.18748014865344773,-0.17343130269198068,-0.09267230499612147
2023-07-25,0.1990487953117325,0.026848754338858805,0.09946224056537079,-0.1722000409728737,-0.09958655474636172
2023-07-26,0.2203009129335363,-0.009578246988387312,0.0656737745458353,-0.2298791599219236,-0.15462713838770098
2023-07-27,0.14297191458252584,-0.004272151898911651,0.0543462129316081,-0.14724406648143748,-0.08862570165091774
2023-07-28,0.09696448861059478,-0.03236565068236046,0.04184034801488243,-0.12933013929295525,-0.055124140595712356
2023-07-31,0.08979638580122844,-0.0844913172013001,0.02001201538932762,-0.17428770300252855,-0.06978437041190082
2023-08-01,-0.014648913835322002,-0.10173692168405964,-0.025331653219563176,-0.08708800784873763,-0.010682739384241174
2023-08-02,-0.04270990617549206,-0.0696844583421234,-0.04727276806696647,-0.026974552166631346,-0.00456286189147441
2023-08-03,-0.011861134742490679,-0.019242558560865528,0.033804822258830323,-0.007381423818374849,0.045665957001321006
2023-08-04,0.02749797308935847,-0.07257462878655109,-0.02736896130791845,-0.10007260187590956,-0.05486693439727692
2023-08-07,0.0723732553030374,-0.019362647171571764,-0.021647330485102888,-0.09173590247460917,-0.09402058578814029
2023-08-08,0.10086851103800255,0.016505912320482458,-0.008552774654469568,-0.0843625987175201,-0.10942128569247211
2023-08-09,0.07382255550383406,0.024227537432239744,0.04294412456223769,-0.04959501807159431,-0.03087843094159637
2023-08-10,0.06406091701738512,0.006977488293941849,-0.004997757001475492,-0.05708342872344327,-0.06905867401886061
2023-08-11,0.026185365420291547,-0.028068908252490615,-0.044735973910420855,-0.05425427367278216,-0.0709213393307124
2023-08-14,0.04189628765899952,0.05092166242483091,-0.0045021909428689085,0.009025374765831394,-0.04639847860186843
2023-08-15,0.04969577239363114,0.044984601453651074,0.025109318691879875,-0.004711170939980067,-0.024586453701751266
2023-08-16,0.06847078203010407,0.050231032906534794,0.04559521000198966,-0.018239749123569272,-0.022875572028114403
2023-08-17,0.12637830434440603,0.10203848150434175,0.06042791636011975,-0.02433982284006428,-0.06595038798428628
2023-08-18,0.08865222178868702,0.07322869221682271,0.046157642175030746,-0.015423529571864311,-0.042494579613656276
2023-08-21,0.11493594438936823,0.09725844562053265,0.04304383414717218,-0.01767749876883558,-0.07189211024219605
2023-08-22,0.11536204926035433,0.11352553592915046,0.04121587394974439,-0.0018365133312038678,-0.07414617531060994
2023-08-23,0.10544195967924781,0.1059397430787267,0.02213315265957258,0.0004977833994788822,-0.08330880701967523
2023-08-24,0.13644465837185948,0.10992557361252883,0.04663633971201956,-0.026519084759330652,-0.08980831865983993
2023-08-25,0.12326867466896974,0.12796526126169314,0.08641734098335947,0.004696586592723401,-0.03685133368561026
2023-08-28,0.09002882236419514,0.06341429106192235,0.06475746841527708,-0.026614531302272787,-0.025271353948918066
2023-08-29,0.10180367620401824,0.05380050014587009,0.04083109161072298,-0.048003176058148155,-0.06097258459329526
2023-08-30,0.07513689062920689,0.04360092491577796,0.08974407018102959,-0.03153596571342893,0.014607179551822697
2023-08-31,0.09391722720436102,0.08560131780470763,0.07272037936357748,-0.00831590939965339,-0.021196847840783545
2023-09-01,0.09707107588532986,0.06991444449071565,0.06978865937766689,-0.027156631394614203,-0.02728241650766297
2023-09-04,0.10332430464341796,0.10190072054820296,0.12185928645320993,-0.001423584095215008,0.01853498180979196
2023-09-05,-0.055788325670048426,-0.048030464979617514,0.03536710072526267,0.007757860690430912,0.0911554263953111
2023-09-06,0.024173028578517268,0.008171962409250545,0.07034085016622453,-0.016001066169266723,0.04616782158770726
2023-09-07,0.008107183621277374,0.014595334934317984,0.08582919805709903,0.00648815131304061,0.07772201443582166
2023-09-08,0.02233398016698514,-0.00940185177473313,0.049951410422325614,-0.03173583194171827,0.027617430255340473
2023-09-11,0.05644330180140136,0.0478069804558391,0.045915896235621784,-0.008636321345562262,-0.01052740556577958
2023-09-12,0.009652646322431162,0.013268277514989366,0.02685452850293618,0.003615631192558203,0.01720188218050502
2023-09-13,-0.04205872887745792,0.023218678590458237,0.054159576016515915,0.06527740746791616,0.09621830489397384
2023-09-14,-0.050274880200820285,0.0017118044521954024,0.06970531674338908,0.05198668465301569,0.11998019694420936
2023-09-15,-0.05963069061235553,-0.04280505466946145,0.014275247820142433,0.01682563594289408,0.07390593843249796
2023-09-18,-0.04629624595488253,0.008659431849283455,-0.02806026887080702,0.05495567780416598,0.018235977084075507
2023-09-19,0.018717185004969224,0.044970322206296216,0.054301890418949346,0.026253137201326993,0.03558470541398012
2023-09-20,0.01946677481798628,0.06890736705288501,0.11279014815020023,0.04944059223489873,0.09332337333221395
2023-09-21,0.051406212494978315,0.08933754016201263,0.1625894146367241,0.03793132766703432,0.11118320214174579
2023-09-22,0.07728754300767032,0.1305869194217631,0.2012879698749671,0.05329937641409277,0.12400042686729679
2023-09-25,0.04121194566182801,0.11014522461102656,0.16374023768637463,0.06893327894919855,0.12252829202454663
2023-09-26,0.02787726415289701,0.11259481121277105,0.17054573119632946,0.08471754705987404,0.14266846704343245
2023-09-27,0.07325662410368322,0.10347405612169128,0.15003054966221366,0.030217432018008056,0.07677392555853044
2023-09-28,0.03183322365121965,0.07125909475643967,0.11840003938326599,0.03942587110522002,0.08656681573204633
2023-10-09,0.04887575749282233,0.13136170009565404,0.1712929755623267,0.08248594260283171,0.12241721806950437
2023-10-10,0.04745739265700212,0.1295778080068112,0.189883280189395,0.08212041534980909,0.14242588753239288
2023-10-11,0.04330811362951885,0.14282085841657516,0.2362415276777053,0.09951274478705631,0.19293341404818642
2023-10-12,-0.03060994410934764,0.030145018881577192,0.1276062446428401,0.06075496299092483,0.15821618875218774
2023-10-13,-0.0626499197431602,-0.010610139717999177,0.13168678758171204,0.05203978002516102,0.19433670732487224
2023-10-16,-0.00944370455958656,0.0629957435308425,0.2085854522311416,0.07243944809042906,0.21802915679072818
2023-10-17,-0.05312765170470616,0.0576486471940169,0.1626539078384353,0.11077629889872306,0.21578155954314146
2023-10-18,0.014069363834857353,0.13267975106128382,0.1964560721702326,0.11861038722642647,0.18238670833537524
2023-10-19,0.023497498851715263,0.09839326018970576,0.16714293615113085,0.0748957613379905,0.1436454372994156
2023-10-20,0.01954244012998218,0.10561523306103479,0.14571198252478432,0.0860727929310526,0.12616954239480213
2023-10-23,0.12767323325611302,0.2557923823287249,0.2326378591337848,0.1281191490726119,0.10496462587767177
2023-10-24,0.12745272391789597,0.2385791615087912,0.23045476168796458,0.11112643759089522,0.10300203777006861
2023-10-25,0.05353464517048237,0.20826652897554346,0.13033090844152004,0.1547318838050611,0.07679626327103767
2023-10-26,0.021613757940662687,0.2220604780829634,0.11318044726368053,0.2004467201423007,0.09156668932301784
2023-10-27,0.009729079044645001,0.17757099672424212,0.09803659435340337,0.1678419176795971,0.08830751530875837
2023-10-30,0.05842574292686893,0.21000644825950382,0.09955334027031669,0.1515807053326349,0.04112759734344776
2023-10-31,0.1435620230795307,0.205400493984255,0.10392080832740086,0.0618384709047243,-0.03964121475212984
2023-11-01,0.13021044050291253,0.18881074309316626,0.08211006568672609,0.05860030259025373,-0.04810037481618644
2023-11-02,0.09271111839926735,0.1760535427302522,0.048003903732266075,0.08334242433098485,-0.044707214667001276
2023-11-03,0.10765881862957748,0.21381936462244772,0.05842959142780568,0.10616054599287024,-0.049229227201771794
2023-11-06,0.13663669922364724,0.20283144965532401,0.13783270828423544,0.06619475043167677,0.001196009060588199
2023-11-07,0.14713553416239664,0.20303531766086275,0.15102221475288796,0.05589978349846611,0.003886680590491326
2023-11-08,0.1432613103927533,0.2175277789993255,0.16724013910733138,0.07426646860657218,0.02397882871457807
2023-11-09,0.13448614940795986,0.2728689080471899,0.14757303569392455,0.13838275863923002,0.013086886285964688
2023-11-10,0.17180615226694101,0.25198697557539207,0.09660832643100059,0.08018082330845105,-0.07519782583594042
2023-11-13,0.1437977249809085,0.23851580464418795,0.09785474861559454,0.09471807966327944,-0.04594297636531397
2023-11-14,0.18051422568299536,0.2153828621900946,0.1093201104484656,0.03486863650709923,-0.07119411523452976
2023-11-15,0.15521832583460757,0.20890868993256062,0.07518035992562276,0.05369036409795305,-0.0800379659089848
2023-11-16,0.1405585445507636,0.2214258165682048,0.07116370429016984,0.08086727201744118,-0.06939484026059377
2023-11-17,0.13331142307150923,0.193632477891804,0.0981830021965607,0.06032105482029476,-0.035128420874948524
