,legacy_rankic,execution_rankic,execution_minus_legacy
2023-07-03,0.2785761237864855,0.28339113932334276,0.004815015536857259
2023-07-04,0.29337684528742153,0.3208400721717914,0.027463226884369862
2023-07-05,0.29880903481207416,0.30744715659969907,0.008638121787624908
2023-07-06,0.3077729221719848,0.30762431404077895,-0.00014860813120587402
2023-07-07,0.2311885462712988,0.2211768841297897,-0.010011662141509114
2023-07-10,0.17833326652916617,0.16473546268265038,-0.013597803846515794
2023-07-11,0.21830886256540138,0.2268082679704956,0.008499405405094224
2023-07-12,0.21595276015846435,0.21681572550596662,0.0008629653475022703
2023-07-13,0.28263265423275435,0.28804517842479405,0.005412524192039692
2023-07-14,0.31664389671218196,0.3163351292543622,-0.00030876745781976966
2023-07-17,0.2658885571914958,0.2549745552012312,-0.010914001990264599
2023-07-18,0.30436298216805996,0.2888362766086737,-0.015526705559386234
2023-07-19,0.3357091898368195,0.3170991988183272,-0.01860999101849231
2023-07-20,0.23373264819743841,0.22901108403902357,-0.004721564158414848
2023-07-21,0.25660381062833076,0.256244916656539,-0.00035889397179178495
2023-07-24,0.28039877840507266,0.2735216664495513,-0.0068771119555213756
2023-07-25,0.20462604195736042,0.18168596175525775,-0.02294008020210267
2023-07-26,0.18905054736082066,0.20549424185663032,0.016443694495809652
2023-07-27,0.15558256812287988,0.12333361262511101,-0.032248955497768864
2023-07-28,0.09114441307040462,0.09483041398762437,0.0036860009172197533
2023-07-31,0.10897472603082393,0.08413809866594371,-0.024836627364880223
2023-08-01,-0.012158918542465516,-0.016425630434066665,-0.004266711891601148
2023-08-02,-0.040482902340888784,-0.03418905295430542,0.006293849386583367
2023-08-03,0.00167177962144511,-0.009209382332869017,-0.010881161954314128
2023-08-04,0.03926429032941507,0.04080979199421242,0.0015455016647973469
2023-08-07,0.07703488372106489,0.08012751596286706,0.0030926322418021734
2023-08-08,0.09136489541841782,0.10722225776110439,0.015857362342686573
2023-08-09,0.07690143614857503,0.07959421026172574,0.002692774113150706
2023-08-10,0.07867890357388986,0.06347096600601776,-0.015207937567872101
2023-08-11,0.02676588784292534,0.02802973760960225,0.0012638497666769104
2023-08-14,0.04849345914959946,0.03469093130110079,-0.013802527848498669
2023-08-15,0.07862627906899713,0.057312950233658205,-0.02131332883533893
2023-08-16,0.054068929649056366,0.06194400046548906,0.007875070816432697
2023-08-17,0.09473747285619172,0.11422309608026007,0.019485623224068355
2023-08-18,0.07830884887660844,0.06767678333420862,-0.010632065542399816
2023-08-21,0.1151984623115978,0.09189148232872234,-0.023306979982875467
2023-08-22,0.12593825208977316,0.0982317562051761,-0.02770649588459706
2023-08-23,0.12679820444188988,0.08803425922069989,-0.03876394522118999
2023-08-24,0.13860601358472646,0.11585950521923033,-0.022746508365496132
2023-08-25,0.10143368226168217,0.11351563511279907,0.012081952851116892
2023-08-28,0.08020265883880652,0.09397899932860664,0.013776340489800115
2023-08-29,0.10785179043106059,0.11473602602664901,0.006884235595588414
2023-08-30,0.08485960957712942,0.08476799251516366,-9.161706196575414e-05
2023-08-31,0.09336402196079292,0.09987022074503932,0.006506198784246395
2023-09-01,0.10278345789357893,0.10197093495316668,-0.0008125229404122442
2023-09-04,0.12330444616273444,0.11357636869347174,-0.0097280774692627
2023-09-05,-0.04089521426995755,-0.04589343340568258,-0.004998219135725034
2023-09-06,0.03781239303391163,0.03467312489834879,-0.0031392681355628393
2023-09-07,0.021189450759247535,0.0216230122599117,0.00043356150066416535
2023-09-08,0.03495144642750234,0.03839495236259914,0.003443505935096798
2023-09-11,0.07257575123098858,0.06533916011677936,-0.007236591114209226
2023-09-12,0.025918371289437293,0.02654997368901743,0.0006316023995801383
2023-09-13,-0.02327745384036522,-0.029123596794975344,-0.005846142954610126
2023-09-14,-0.02839759736485348,-0.029479882123968265,-0.0010822847591147843
2023-09-15,-0.045663712555570876,-0.0450149895727777,0.0006487229827931776
2023-09-18,-0.03531283709335728,-0.044639040796793775,-0.009326203703436495
2023-09-19,0.03368038316300474,0.023283695074288676,-0.010396688088716067
2023-09-20,0.01817673255151898,0.01627336495355871,-0.0019033675979602711
2023-09-21,0.05216321029998549,0.04573659507153523,-0.006426615228450262
2023-09-22,0.0715818366419394,0.06997159755729553,-0.0016102390846438747
2023-09-25,0.038947199652780595,0.029130292649419676,-0.009816907003360919
2023-09-26,0.03644993642910305,0.023599488193835925,-0.012850448235267122
2023-09-27,0.08821704079469059,0.07676120767468686,-0.011455833120003728
2023-09-28,0.0474650360065426,0.03970442395836817,-0.00776061204817443
2023-10-09,0.06195961771254414,0.058043254287301824,-0.00391636342524232
2023-10-10,0.05771963899374233,0.05263798567916476,-0.005081653314577571
2023-10-11,0.04622019355082513,0.03922730827852905,-0.006992885272296079
2023-10-12,-0.028971025424655367,-0.02496671375847877,0.0040043116661765965
2023-10-13,-0.059502628601896125,-0.059035642236226094,0.00046698636567003154
2023-10-16,-0.003294555223593458,-0.00046813144782933817,0.0028264237757641203
2023-10-17,-0.05956812354639345,-0.04782040608799909,0.011747717458394362
2023-10-18,0.01688914550103182,0.020659162974559067,0.0037700174735272457
2023-10-19,0.021466257028700336,0.02611665636807783,0.004650399339377494
2023-10-20,0.013920278350603749,0.012074776492275927,-0.0018455018583278214
2023-10-23,0.12976310579106543,0.12250134267153275,-0.00726176311953268
2023-10-24,0.12895262308866862,0.12628218033009111,-0.0026704427585775015
2023-10-25,0.043953751167467206,0.055694136068925634,0.011740384901458428
2023-10-26,0.010305310512294505,0.01674578412397145,0.006440473611676946
2023-10-27,0.007166721785899987,0.012192725543779802,0.005026003757879816
2023-10-30,0.06115116605167192,0.05843307179577596,-0.0027180942558959545
2023-10-31,0.14575472929674838,0.15207786840531917,0.006323139108570797
2023-11-01,0.12139587043335578,0.1254064950809163,0.004010624647560523
2023-11-02,0.09359951482882524,0.09252890812675625,-0.001070606702068988
2023-11-03,0.10334806856204308,0.09919041089590817,-0.004157657666134906
2023-11-06,0.14484869777436346,0.1438507620545944,-0.0009979357197690553
2023-11-07,0.14017631428393604,0.16037576070042447,0.020199446416488437
2023-11-08,0.13896590563988956,0.1516374486850964,0.012671543045206846
2023-11-09,0.14937841443778446,0.14386885522245824,-0.005509559215326226
