arm,mean_daily_rank_ic,nw20_rank_icir,rank_ic_positive_rate,q5_minus_q1,monotonicity_score,top10_mean_exec_alpha,oos_rows,oos_dates,feature_count,feature_schema_hash,seed
legacy_label,0.04376351538043725,0.34479163376499355,0.604306864064603,2.34,0.8,0.002870194541679757,220913,743,79,82dfd3e9643ae1352829e736b9c8b89d1d648b98d16ef59153f261bf7a453460,42
execution_aligned_label,0.044698396970461095,0.3555034151747902,0.6016150740242261,4.0,0.7,0.004714775298756092,220913,743,79,82dfd3e9643ae1352829e736b9c8b89d1d648b98d16ef59153f261bf7a453460,42
