comparison,type,common_dates,mean_diff,ci_95_lower,ci_95_upper,ci_97_5_lower,ci_97_5_upper,prob_positive,robust_improvement_97_5
regression_vs_classification,primary_candidate,743,0.0030255765695101394,-0.024591974852965985,0.032127379796810525,-0.02836919016195842,0.03559074635912439,0.6115,False
lambdarank_vs_classification,primary_candidate,743,-0.013054128454576945,-0.033827359031519184,0.009471018229609418,-0.03696402931207592,0.012162396669682836,0.136,False
lambdarank_vs_regression,exploratory,743,-0.016079705024087086,-0.03826982840950398,0.005417002587137062,-0.04100937954554335,0.008023935410403615,0.071,False
