grade,count,pct
0,19014,0.09758075276873968
1,19503,0.10009032403748448
2,19414,0.09963357180247776
3,19543,0.10029560594085829
4,19657,0.10088065936547363
5,19308,0.09908957475853716
6,19459,0.09986451394377328
7,19503,0.10009032403748448
8,19413,0.09962843975489341
9,20040,0.10284623359027785
