date,total_equity,cash,holdings_value,num_positions,benchmark_equity,benchmark_close,strategy_return,benchmark_return,excess_return,cum_strategy_return,cum_benchmark_return,nav_strategy,nav_benchmark,drawdown_pct
2021-09-29,1002534.6215883514,150380.19323825272,852154.4283500987,8,1000000.0,4833.928,0.0025346215883514543,0.0,0.0025346215883514543,0.25346215883514933,0.0,1.0025346215883515,1.0,0.0
2021-09-30,999055.4235488344,149858.31353232515,849197.1100165092,8,1006714.0015325011,4866.383,-0.003470401883981773,0.0067140015325011,-0.010184403416482874,-0.09445764511656352,0.6714001532501124,0.9990554235488344,1.0067140015325011,-0.34704018839817324
2021-10-08,1013379.3947158274,152006.90920737412,861372.4855084533,8,1019862.3148710533,4929.941,0.014337514045128228,0.0130606242870732,0.0012768897580550283,1.3379394715827386,1.9862314871053277,1.0133793947158274,1.0198623148710533,0.0
2021-10-11,1031106.3598899151,154665.95398348727,876440.4059064278,8,1021155.4661136866,4936.192,0.01749292048617068,0.0012679664929051,0.016224953993265578,3.110635988991506,2.115546611368657,1.031106359889915,1.0211554661136866,0.0
2021-10-12,1029664.4429013226,154449.6664351984,875214.7764661242,8,1010324.7297022218,4883.837,-0.0013984173162759927,-0.0106063540478164,0.009207936731540408,2.966444290132264,1.0324729702221758,1.0296644429013226,1.0103247297022218,-0.13984173162760458
2021-10-13,1030051.8670480982,154507.78005721472,875544.0869908835,8,1021965.7802102142,4940.109,0.0003762625284836588,0.0115220880631354,-0.011145825534651741,3.0051867048098257,2.1965780210214225,1.0300518670480983,1.0219657802102142,-0.10226809598278326
2021-10-14,1034163.7916471174,155124.5687470676,879039.2229000498,8,1016484.3166882092,4913.612,0.003991958784369658,-0.005363646834513,0.009355605618882658,3.416379164711736,1.6484316688209155,1.0341637916471174,1.0164843166882092,0.0
2021-10-15,1043817.7374002355,156572.66061003532,887245.0767902002,8,1020310.6045435517,4932.108,0.009335025874133762,0.0037642369808605,0.005570788893273263,4.3817737400235535,2.0310604543551714,1.0438177374002355,1.0203106045435517,0.0
2021-10-18,1039061.8025688756,155859.27038533133,883202.5321835442,8,1008450.0637990475,4874.775,-0.004556288575058377,-0.0116244413139373,0.007068152738878924,3.906180256887559,0.8450063799047447,1.0390618025688756,1.0084500637990474,-0.45562885750583426
2021-10-19,1045694.8739703158,156854.23109554735,888840.6428747684,8,1018369.1192752564,4922.723,0.006383712099743349,0.0098359411460016,-0.003452229046258252,4.56948739703158,1.8369119275256418,1.0456948739703158,1.0183691192752564,0.0
2021-10-20,1040522.1354311211,156078.32031466815,884443.8151164529,8,1015775.3694304099,4910.185,-0.004946699718967372,-0.0025469643528589,-0.002399735366108472,4.052213543112115,1.5775369430409913,1.0405221354311212,1.01577536943041,-0.49466997189674305
2021-10-21,1047316.6715218951,157097.50072828427,890219.1707936109,8,1019464.0880046211,4928.016,0.006529929406988214,0.0036314314022789,0.0028984980047093143,4.7316671521895115,1.9464088004621072,1.0473166715218951,1.019464088004621,0.0
2021-10-22,1050079.1739357193,157511.8760903579,892567.2978453614,8,1026023.7636969361,4959.725,0.0026376954448837937,0.0064344352778076,-0.0037967398329238067,5.007917393571937,2.602376369693604,1.0500791739357194,1.026023763696936,0.0
2021-10-25,1042954.1641882337,156443.12462823503,886511.0395599985,8,1030119.6045948559,4979.524,-0.0067852119386209156,0.0039919551991289,-0.010777167137749816,4.295416418823361,3.0119604594855964,1.0429541641882336,1.030119604594856,-0.6785211938620843
2021-10-26,1035728.182389261,155359.22735838915,880368.9550308718,8,1026721.5399153653,4963.098,-0.0069283790669716055,-0.0032987088725752,-0.0036296701943964054,3.572818238926101,2.67215399153653,1.035728182389261,1.0267215399153653,-1.366658048523192
2021-10-27,1032244.8250387115,154836.7237558067,877408.1012829047,8,1013288.5719439763,4898.164,-0.003363196454222174,-0.0130833604333422,0.009720163979120025,3.224482503871151,1.3288571943976368,1.0322448250387115,1.0132885719439764,-1.698381354442478
2021-10-28,1025680.1740940824,153852.02611411235,871828.1479799701,8,1006249.575914247,4864.138,-0.0063595871690446965,-0.0069466845128089,0.0005870973437642037,2.568017409408241,0.6249575914246908,1.0256801740940824,1.006249575914247,-2.323539067077103
2021-10-29,1023942.1354477474,153591.3203171621,870350.8151305853,8,1015482.6468246949,4908.77,-0.001694523000671247,0.0091757265110488,-0.010870249511720047,2.394213544774737,1.5482646824694912,1.0239421354477474,1.015482646824695,-2.489054076752119
2021-11-01,1013631.250924007,152044.68763860106,861586.563285406,8,1011741.3829912248,4890.685,-0.010069792195075207,-0.003684222320459,-0.0063855698746162065,1.3631250924007077,1.1741382991224736,1.013631250924007,1.0117413829912247,-3.470969038944434
2021-11-02,1006257.3412925666,150938.601193885,855318.7400986817,8,1001224.2631665191,4839.846,-0.007274745746758097,-0.0103950673576401,0.0031203216108820035,0.6257341292566609,0.1224263166519135,1.0062573412925666,1.0012242631665191,-4.17319319636705
