order_id,parent_order_id,symbol,side,signal_date,execution_date,requested_shares,cumulative_filled_shares,remaining_shares,cancelled_shares,filled_shares,signal_price,execution_price,commission,stamp_tax,transfer_fee,slippage,total_cost,status,reason,reject_reason
ORD_000001,,601898.SH,BUY,2021-09-29,2021-09-30,13600,13600,0,0,13600,8.69,8.69,29.55,0.0,2.36,136.0,167.91,FILLED,Top-K目标建仓/加仓,
ORD_000002_P5800,ORD_000002,601018.SH,BUY,2021-09-29,2021-09-30,30000,5800,24200,0,5800,3.95,3.94,5.71,0.0,0.46,0.0,6.17,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000003_P8800,ORD_000003,600415.SH,BUY,2021-09-29,2021-09-30,25300,8800,16500,0,8800,4.68,4.68,10.3,0.0,0.82,0.0,11.12,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000004_P1600,ORD_000004,300832.SZ,BUY,2021-09-29,2021-09-30,1900,1600,300,0,1600,49.9,49.8,19.92,0.0,1.59,80.0,101.51,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000005_P1800,ORD_000005,300308.SZ,BUY,2021-09-29,2021-09-30,3400,1800,1600,0,1800,34.91,34.94,15.72,0.0,1.26,54.0,70.98,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000006_P600,ORD_000006,002916.SZ,BUY,2021-09-29,2021-09-30,1000,600,400,0,600,93.4,93.09,13.96,0.0,1.12,54.0,69.08,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000007,,603893.SH,BUY,2021-09-29,2021-09-30,700,700,0,0,700,122.0,121.48,21.26,0.0,1.7,84.0,106.96,FILLED,Top-K目标建仓/加仓,
ORD_000008,,601919.SH,BUY,2021-09-29,2021-09-30,7100,7100,0,0,7100,16.54,16.97,30.12,0.0,2.41,142.0,174.53,FILLED,Top-K目标建仓/加仓,
ORD_000002_P11900,ORD_000002,601018.SH,BUY,2021-09-29,2021-10-08,30000,11900,18100,0,6100,3.95,3.99,6.08,0.0,0.49,0.0,6.57,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000003_P19200,ORD_000003,600415.SH,BUY,2021-09-29,2021-10-08,25300,19200,6100,0,10400,4.68,4.73,12.3,0.0,0.98,0.0,13.28,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000004,,300832.SZ,BUY,2021-09-29,2021-10-08,1900,1900,0,0,300,49.9,48.98,5.0,0.0,0.29,15.0,20.29,FILLED,Top-K目标建仓/加仓,
ORD_000005,,300308.SZ,BUY,2021-09-29,2021-10-08,3400,3400,0,0,1600,34.91,35.14,14.06,0.0,1.12,64.0,79.18,FILLED,Top-K目标建仓/加仓,
ORD_000006,,002916.SZ,BUY,2021-09-29,2021-10-08,1000,1000,0,0,400,93.4,95.61,9.56,0.0,0.76,40.0,50.32,FILLED,Top-K目标建仓/加仓,
ORD_000009,,601898.SH,SELL,2021-10-08,2021-10-11,13600,13600,0,0,13600,8.61,8.69,29.55,118.18,2.36,136.0,286.09,FILLED,"触发跟踪止盈 (最高浮盈: 8.40%, 自高点回撤: 8.60%)",
ORD_000010,,603893.SH,SELL,2021-10-08,2021-10-11,700,700,0,0,700,119.96,118.88,20.8,83.22,1.66,84.0,189.68,FILLED,"触发跟踪止盈 (最高浮盈: 5.78%, 自高点回撤: 6.65%)",
ORD_000002_P17500,ORD_000002,601018.SH,BUY,2021-09-29,2021-10-11,30000,17500,12500,0,5600,3.95,4.01,5.61,0.0,0.45,0.0,6.06,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000003,,600415.SH,BUY,2021-09-29,2021-10-11,25300,25300,0,0,6100,4.68,4.81,7.34,0.0,0.59,0.0,7.93,FILLED,Top-K目标建仓/加仓,
ORD_000002_P24300,ORD_000002,601018.SH,BUY,2021-09-29,2021-10-12,30000,24300,5700,0,6800,3.95,3.99,6.78,0.0,0.54,0.0,7.32,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000002,,601018.SH,BUY,2021-09-29,2021-10-13,30000,30000,0,0,5700,3.95,3.92,5.59,0.0,0.45,0.0,6.04,FILLED,Top-K目标建仓/加仓,
ORD_000011,,601919.SH,SELL,2021-10-15,2021-10-18,7100,7100,0,0,7100,15.05,15.11,26.82,107.28,2.15,142.0,278.25,FILLED,触发个股硬止损 (浮亏: -11.31% <= -8.0%),
ORD_000012_P600,ORD_000012,300832.SZ,SELL,2021-10-20,2021-10-21,1900,600,1300,0,600,47.89,48.07,7.21,28.84,0.58,30.0,66.63,PARTIALLY_FILLED,调仓剔除(掉出Top-K),
ORD_000013_P1800,ORD_000013,300308.SZ,SELL,2021-10-20,2021-10-21,3400,1800,1600,0,1800,33.53,33.65,15.14,60.57,1.21,54.0,130.92,PARTIALLY_FILLED,调仓剔除(掉出Top-K),
ORD_000014_P7900,ORD_000014,600415.SH,SELL,2021-10-20,2021-10-21,25300,7900,17400,0,7900,4.49,4.49,8.87,35.47,0.71,0.0,45.05,PARTIALLY_FILLED,调仓剔除(掉出Top-K),
ORD_000020,,002916.SZ,SELL,2021-10-20,2021-10-21,500,500,0,0,500,90.8,91.15,11.39,45.58,0.91,45.0,102.88,FILLED,Top-K目标再平衡减仓,
ORD_000015_P2100,ORD_000015,001965.SZ,BUY,2021-10-20,2021-10-21,6300,2100,4200,0,2100,7.22,7.24,5.0,0.0,0.3,21.0,26.3,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000016,,601698.SH,BUY,2021-10-20,2021-10-21,3100,3100,0,0,3100,14.54,14.51,11.25,0.0,0.9,31.0,43.15,FILLED,Top-K目标建仓/加仓,
ORD_000017_P3700,ORD_000017,000708.SZ,BUY,2021-10-20,2021-10-21,5400,3700,1700,0,3700,21.02,21.12,19.54,0.0,1.56,74.0,95.1,PARTIALLY_FILLED,Top-K目标建仓/加仓,
