date,total_equity,cash,holdings_value,num_positions,benchmark_equity,benchmark_close,strategy_return,benchmark_return,excess_return,cum_strategy_return,cum_benchmark_return,nav_strategy,nav_benchmark,drawdown_pct
2021-09-29,1000000.0,1000000.0,0.0,0,1000000.0,4833.928,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-30,1012652.36196,108507.36196,904145.0,8,1006714.0015325011,4866.383,0.01265236196000008,0.006714001532501124,0.0059383604274989565,0.01265236196000008,0.006714001532501124,1.01265236196,1.0067140015325011,0.0
2021-10-08,1013000.51444,68320.51444,944680.0,8,1019862.3148710531,4929.941,0.00034380256549848554,0.01306062428707322,-0.012716821721574734,0.013000514440000055,0.019862314871053055,1.01300051444,1.019862314871053,0.0
2021-10-11,1018943.9285200001,191459.92852000002,827484.0,7,1021155.4661136863,4936.192,0.0058671382642738745,0.0012679664929051704,0.004599171771368704,0.018943928520000153,0.02115546611368635,1.0189439285200002,1.0211554661136863,0.0
2021-10-12,1016362.85792,296106.85792,720256.0,6,1010324.7297022216,4883.837,-0.0025330840370667573,-0.010606354047816402,0.008073270010749645,0.016362857919999918,0.010324729702221536,1.01636285792,1.0103247297022215,-0.2533
2021-10-13,1024204.0258599999,413935.02586,610269.0,5,1021965.7802102142,4940.109,0.007714929642398616,0.011522088063135483,-0.003807158420736867,0.024204025860000034,0.021965780210214225,1.02420402586,1.0219657802102142,0.0
2021-10-14,1021115.0258599999,413935.02586,607180.0,5,1016484.316688209,4913.612,-0.003016000642456218,-0.0053636468345130695,0.0023476461920568514,0.021115025859999914,0.016484316688208933,1.02111502586,1.016484316688209,-0.3016
2021-10-15,1017654.0381,532672.0381,484982.0,4,1020310.6045435515,4932.108,-0.0033894200676216624,0.0037642369808605913,-0.007153657048482254,0.017654038100000102,0.02031060454355149,1.0176540381,1.0203106045435515,-0.6395
2021-10-18,1006126.0381,532672.0381,473454.0,4,1008450.063799047,4874.775,-0.011328014795208063,-0.011624441313937361,0.00029642651872929804,0.006126038099999898,0.008450063799047003,1.0061260381,1.008450063799047,-1.7651
2021-10-19,1008337.91645,638931.91645,369406.0,3,1018369.119275256,4922.723,0.0021984108016694925,0.009835941146001614,-0.007637530344332122,0.008337916449999927,0.018369119275255974,1.00833791645,1.018369119275256,-1.5491
