order_id,parent_order_id,symbol,side,signal_date,execution_date,requested_shares,cumulative_filled_shares,remaining_shares,cancelled_shares,filled_shares,signal_price,execution_price,commission,stamp_tax,transfer_fee,slippage,total_cost,status,reason,reject_reason
ORD_000412,,601169.SH,BUY,2023-11-23,2023-11-24,200,200,0,0,200,4.53,4.53,5.0,0.0,0.01,0.0,5.01,FILLED,Top-K目标建仓/加仓,
ORD_000400,,688396.SH,SELL,2023-11-23,2023-11-27,1400,1400,0,0,300,52.51,51.81,5.0,7.77,0.16,15.0,27.93,FILLED,调仓剔除(掉出Top-K),
ORD_000401,,002625.SZ,SELL,2023-11-23,2023-11-27,5900,5900,0,0,1000,14.46,14.08,5.0,7.04,0.14,10.0,22.18,FILLED,调仓剔除(掉出Top-K),
ORD_000402,,600015.SH,SELL,2023-11-23,2023-11-27,14200,14200,0,0,2900,5.66,5.7,5.0,8.27,0.17,29.0,42.44,FILLED,调仓剔除(掉出Top-K),
ORD_000404_P22000,ORD_000404,601018.SH,SELL,2023-11-23,2023-11-27,24200,22000,2200,0,11600,3.57,3.57,10.35,20.71,0.41,0.0,31.47,PARTIALLY_FILLED,调仓剔除(掉出Top-K),
ORD_000406,,600926.SH,BUY,2023-11-23,2023-11-27,4300,4300,0,0,100,10.41,10.46,5.0,0.0,0.01,1.0,6.01,FILLED,Top-K目标建仓/加仓,
ORD_000407,,600741.SH,BUY,2023-11-23,2023-11-27,4600,4600,0,0,1700,17.57,17.5,7.44,0.0,0.3,34.0,41.74,FILLED,Top-K目标建仓/加仓,
ORD_000409,,601825.SH,BUY,2023-11-23,2023-11-27,7700,7700,0,0,4800,5.76,5.78,6.94,0.0,0.28,48.0,55.22,FILLED,Top-K目标建仓/加仓,
ORD_000410,,688009.SH,BUY,2023-11-23,2023-11-27,9700,9700,0,0,2800,4.6,4.57,5.0,0.0,0.13,0.0,5.13,FILLED,Top-K目标建仓/加仓,
ORD_000404,,601018.SH,SELL,2023-11-23,2023-11-28,24200,24200,0,0,2200,3.57,3.59,5.0,3.95,0.08,0.0,9.03,FILLED,调仓剔除(掉出Top-K),
ORD_000414,,002202.SZ,SELL,2023-12-06,2023-12-07,9000,9000,0,0,9000,8.32,8.33,18.74,37.48,0.75,90.0,146.97,FILLED,触发个股硬止损 (浮亏: -8.22% <= -8.0%),
ORD_000415,,600362.SH,SELL,2023-12-06,2023-12-07,2500,2500,0,0,2500,17.39,17.38,10.86,21.73,0.43,50.0,83.02,FILLED,组合最大回撤熔断降仓,
ORD_000416,,601169.SH,SELL,2023-12-06,2023-12-07,10200,10200,0,0,10200,4.48,4.49,11.45,22.9,0.46,0.0,34.81,FILLED,组合最大回撤熔断降仓,
ORD_000417,,600875.SH,SELL,2023-12-06,2023-12-07,3100,3100,0,0,3100,14.12,14.09,10.92,21.84,0.44,31.0,64.2,FILLED,组合最大回撤熔断降仓,
ORD_000418,,601916.SH,SELL,2023-12-06,2023-12-07,10100,10100,0,0,10100,2.53,2.53,6.39,12.78,0.26,0.0,19.43,FILLED,组合最大回撤熔断降仓,
ORD_000419,,600926.SH,SELL,2023-12-06,2023-12-07,2400,2400,0,0,2400,9.8,9.77,5.86,11.72,0.23,24.0,41.81,FILLED,组合最大回撤熔断降仓,
ORD_000420,,600741.SH,SELL,2023-12-06,2023-12-07,2600,2600,0,0,2600,16.51,16.49,10.72,21.44,0.43,52.0,84.59,FILLED,组合最大回撤熔断降仓,
ORD_000421,,601229.SH,SELL,2023-12-06,2023-12-07,4200,4200,0,0,4200,5.83,5.83,6.12,12.24,0.24,42.0,60.6,FILLED,组合最大回撤熔断降仓,
ORD_000422_P3800,ORD_000422,601825.SH,SELL,2023-12-06,2023-12-07,4400,3800,600,0,3800,5.62,5.61,5.33,10.66,0.21,38.0,54.2,PARTIALLY_FILLED,组合最大回撤熔断降仓,
ORD_000423,,688009.SH,SELL,2023-12-06,2023-12-07,5500,5500,0,0,5500,4.3,4.32,5.94,11.88,0.24,0.0,18.06,FILLED,组合最大回撤熔断降仓,
ORD_000424,,003816.SZ,SELL,2023-12-06,2023-12-07,8700,8700,0,0,8700,3.01,3.01,6.55,13.09,0.26,0.0,19.9,FILLED,组合最大回撤熔断降仓,
ORD_000422,,601825.SH,SELL,2023-12-06,2023-12-08,4400,4400,0,0,600,5.62,5.61,5.0,1.68,0.03,6.0,12.71,FILLED,组合最大回撤熔断降仓,
ORD_000425,,600875.SH,SELL,2023-12-15,2023-12-18,2300,2300,0,0,2300,13.64,13.61,7.83,15.65,0.31,23.0,46.79,FILLED,触发个股硬止损 (浮亏: -8.27% <= -8.0%),
ORD_000426,,600741.SH,SELL,2023-12-20,2023-12-21,2000,2000,0,0,2000,15.92,15.83,7.92,15.83,0.32,40.0,64.07,FILLED,触发个股硬止损 (浮亏: -9.15% <= -8.0%),
ORD_000427,,601916.SH,SELL,2023-12-21,2023-12-22,7600,7600,0,0,7600,2.51,2.52,5.0,9.58,0.19,0.0,14.77,FILLED,调仓剔除(掉出Top-K),
ORD_000428,,600362.SH,SELL,2023-12-21,2023-12-22,2000,2000,0,0,2000,17.05,17.04,8.52,17.04,0.34,40.0,65.9,FILLED,调仓剔除(掉出Top-K),
ORD_000429,,601229.SH,SELL,2023-12-21,2023-12-22,3200,3200,0,0,3200,5.89,5.87,5.0,9.39,0.19,32.0,46.58,FILLED,调仓剔除(掉出Top-K),
ORD_000430,,601169.SH,SELL,2023-12-21,2023-12-22,7700,7700,0,0,7700,4.4,4.4,8.47,16.94,0.34,0.0,25.75,FILLED,调仓剔除(掉出Top-K),
ORD_000431,,003816.SZ,SELL,2023-12-21,2023-12-22,6500,6500,0,0,6500,3.1,3.11,5.05,10.11,0.2,0.0,15.36,FILLED,调仓剔除(掉出Top-K),
ORD_000433,,688009.SH,SELL,2023-12-21,2023-12-22,1000,1000,0,0,1000,4.24,4.24,5.0,2.12,0.04,0.0,7.16,FILLED,Top-K目标再平衡减仓,
ORD_000440,,601825.SH,SELL,2023-12-21,2023-12-22,900,900,0,0,900,5.63,5.63,5.0,2.53,0.05,9.0,16.58,FILLED,Top-K目标再平衡减仓,
ORD_000441,,600926.SH,SELL,2023-12-21,2023-12-22,500,500,0,0,500,9.64,9.64,5.0,2.41,0.05,5.0,12.46,FILLED,Top-K目标再平衡减仓,
ORD_000432,,002532.SZ,BUY,2023-12-21,2023-12-22,4800,4800,0,0,4800,5.68,5.7,6.84,0.0,0.27,48.0,55.11,FILLED,Top-K目标建仓/加仓,
ORD_000434,,601319.SH,BUY,2023-12-21,2023-12-22,2800,2800,0,0,2800,4.73,4.73,5.0,0.0,0.13,0.0,5.13,FILLED,Top-K目标建仓/加仓,
ORD_000435,,600741.SH,BUY,2023-12-21,2023-12-22,1700,1700,0,0,1700,16.08,16.1,6.84,0.0,0.27,34.0,41.11,FILLED,Top-K目标建仓/加仓,
ORD_000436,,601238.SH,BUY,2023-12-21,2023-12-22,3100,3100,0,0,3100,8.63,8.63,6.69,0.0,0.27,31.0,37.96,FILLED,Top-K目标建仓/加仓,
ORD_000437,,002384.SZ,BUY,2023-12-21,2023-12-22,1500,1500,0,0,1500,17.37,17.38,6.52,0.0,0.26,30.0,36.78,FILLED,Top-K目标建仓/加仓,
ORD_000438,,688521.SH,BUY,2023-12-21,2023-12-22,200,200,0,0,200,49.71,49.76,5.0,0.0,0.1,10.0,15.1,FILLED,Top-K目标建仓/加仓,
ORD_000439,,601838.SH,BUY,2023-12-21,2023-12-22,1200,1200,0,0,1200,10.97,11.03,5.0,0.0,0.13,12.0,17.13,FILLED,Top-K目标建仓/加仓,
ORD_000442,,002384.SZ,SELL,2024-01-03,2024-01-04,1500,1500,0,0,1500,16.93,16.85,6.32,12.64,0.25,30.0,49.21,FILLED,"触发跟踪止盈 (最高浮盈: 5.12%, 自高点回撤: 7.33%)",
ORD_000443,,688521.SH,SELL,2024-01-04,2024-01-05,200,200,0,0,200,45.7,45.55,5.0,4.55,0.09,10.0,19.64,FILLED,触发个股硬止损 (浮亏: -8.16% <= -8.0%),
ORD_000444,,002532.SZ,SELL,2024-01-09,2024-01-10,4800,4800,0,0,4800,5.8,5.79,6.95,13.9,0.28,48.0,69.13,FILLED,"触发跟踪止盈 (最高浮盈: 7.54%, 自高点回撤: 5.38%)",
ORD_000445,,601825.SH,SELL,2024-01-18,2024-01-19,2400,2400,0,0,2400,6.32,6.33,5.0,7.6,0.15,24.0,36.75,FILLED,"触发跟踪止盈 (最高浮盈: 15.92%, 自高点回撤: 5.67%)",
ORD_000446,,601838.SH,SELL,2024-01-19,2024-01-22,1200,1200,0,0,1200,12.02,12.03,5.0,7.22,0.14,12.0,24.36,FILLED,调仓剔除(掉出Top-K),
ORD_000447,,601319.SH,SELL,2024-01-19,2024-01-22,2800,2800,0,0,2800,4.7,4.7,5.0,6.58,0.13,0.0,11.71,FILLED,调仓剔除(掉出Top-K),
ORD_000448,,600926.SH,SELL,2024-01-19,2024-01-22,1400,1400,0,0,1400,10.45,10.42,5.0,7.29,0.15,14.0,26.44,FILLED,调仓剔除(掉出Top-K),
ORD_000449,,688009.SH,SELL,2024-01-19,2024-01-22,3200,3200,0,0,3200,4.22,4.19,5.0,6.7,0.13,0.0,11.83,FILLED,调仓剔除(掉出Top-K),
ORD_000450,,601238.SH,SELL,2024-01-19,2024-01-22,3100,3100,0,0,3100,8.35,8.33,6.46,12.91,0.26,31.0,50.63,FILLED,调仓剔除(掉出Top-K),
ORD_000451,,600741.SH,SELL,2024-01-19,2024-01-22,1700,1700,0,0,1700,16.61,16.56,7.04,14.08,0.28,34.0,55.4,FILLED,调仓剔除(掉出Top-K),
ORD_000452,,600219.SH,BUY,2024-01-19,2024-01-22,12000,12000,0,0,12000,2.85,2.85,8.55,0.0,0.34,0.0,8.89,FILLED,Top-K目标建仓/加仓,
ORD_000453,,002027.SZ,BUY,2024-01-19,2024-01-22,5900,5900,0,0,5900,5.77,5.8,8.55,0.0,0.34,59.0,67.89,FILLED,Top-K目标建仓/加仓,
ORD_000454_P9500,ORD_000454,601018.SH,BUY,2024-01-19,2024-01-22,9800,9500,300,0,9500,3.5,3.49,8.29,0.0,0.33,0.0,8.62,PARTIALLY_FILLED,Top-K目标建仓/加仓,
