order_id,parent_order_id,symbol,side,signal_date,execution_date,requested_shares,cumulative_filled_shares,remaining_shares,cancelled_shares,filled_shares,signal_price,execution_price,commission,stamp_tax,transfer_fee,slippage,total_cost,status,reason,reject_reason
ORD_000001,,600188.SH,BUY,2021-09-29,2021-09-30,4000,4000,0,0,4000,29.08,28.05,28.05,0.0,2.24,120.0,150.29,FILLED,Top-K目标建仓/加仓,
ORD_000002_P4200,ORD_000002,601698.SH,BUY,2021-09-29,2021-09-30,8200,4200,4000,0,4200,14.48,14.51,15.24,0.0,1.22,42.0,58.46,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000003,,000807.SZ,BUY,2021-09-29,2021-09-30,8100,8100,0,0,8100,14.66,15.0,30.38,0.0,2.43,81.0,113.81,FILLED,Top-K目标建仓/加仓,
ORD_000004,,601868.SH,BUY,2021-09-29,2021-09-30,39100,39100,0,0,39100,3.03,3.15,30.79,0.0,2.46,0.0,33.25,FILLED,Top-K目标建仓/加仓,
ORD_000005,,000768.SZ,BUY,2021-09-29,2021-09-30,3700,3700,0,0,3700,31.26,31.43,29.07,0.0,2.33,111.0,142.4,FILLED,Top-K目标建仓/加仓,
ORD_000006,,300059.SZ,BUY,2021-09-29,2021-09-30,3500,3500,0,0,3500,33.68,33.98,29.73,0.0,2.38,105.0,137.11,FILLED,Top-K目标建仓/加仓,
ORD_000007,,002202.SZ,BUY,2021-09-29,2021-09-30,6700,6700,0,0,6700,17.66,17.68,29.61,0.0,2.37,134.0,165.98,FILLED,Top-K目标建仓/加仓,
ORD_000008,,600460.SH,BUY,2021-09-29,2021-09-30,2000,2000,0,0,2000,56.55,56.66,28.33,0.0,2.27,120.0,150.6,FILLED,Top-K目标建仓/加仓,
ORD_000009,,601868.SH,SELL,2021-09-30,2021-10-08,39100,39100,0,0,39100,3.02,2.99,29.23,116.91,2.34,0.0,148.48,FILLED,"触发跟踪止盈 (最高浮盈: 5.71%, 自高点回撤: 9.31%)",
ORD_000002_P8000,ORD_000002,601698.SH,BUY,2021-09-29,2021-10-08,8200,8000,200,0,3800,14.48,14.68,13.95,0.0,1.12,38.0,53.07,PARTIALLY_FILLED,Top-K目标建仓/加仓,
ORD_000010,,600188.SH,SELL,2021-10-08,2021-10-11,4000,4000,0,0,4000,27.2,27.17,27.17,108.68,2.17,120.0,258.02,FILLED,"触发跟踪止盈 (最高浮盈: 5.38%, 自高点回撤: 7.98%)",
ORD_000011,,002202.SZ,SELL,2021-10-08,2021-10-11,6700,6700,0,0,6700,16.23,16.18,27.1,108.41,2.17,134.0,271.68,FILLED,触发个股硬止损 (浮亏: -8.20% <= -8.0%),
ORD_000012,,600460.SH,SELL,2021-10-08,2021-10-11,2000,2000,0,0,2000,56.4,55.94,27.97,111.88,2.24,120.0,262.09,FILLED,"触发跟踪止盈 (最高浮盈: 5.88%, 自高点回撤: 5.98%)",
