date,total_equity,cash,holdings_value,num_positions,benchmark_equity,benchmark_close,strategy_return,benchmark_return,excess_return,cum_strategy_return,cum_benchmark_return,nav_strategy,nav_benchmark,drawdown_pct
2021-09-29,1000000.0,1000000.0,0.0,0,1000000.0,4833.928,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-30,996984.4561000001,342252.4561,654732.0,8,1006714.0015325011,4866.383,-0.0030155438999999173,0.006714001532501124,-0.009729545432501041,-0.0030155438999999173,0.006714001532501124,0.9969844561000001,1.0067140015325011,-0.3016
2021-10-08,992239.35678,273666.35678,718573.0,8,1019862.3148710531,4929.941,-0.00475945165540681,0.01306062428707322,-0.01782007594248003,-0.007760643219999919,0.019862314871053055,0.9922393567800001,1.019862314871053,-0.7761
2021-10-11,987971.49438,312946.49438,675025.0,7,1021155.4661136863,4936.192,-0.004301242810857642,0.0012679664929051704,-0.005569209303762812,-0.012028505619999907,0.02115546611368635,0.9879714943800001,1.0211554661136863,-1.2029
2021-10-12,983350.1156,387166.1156,596184.0,7,1010324.7297022216,4883.837,-0.004677643845281354,-0.010606354047816402,0.005928710202535048,-0.016649884399999926,0.010324729702221536,0.9833501156000001,1.0103247297022215,-1.665
2021-10-13,986789.58583,416679.58583,570110.0,6,1021965.7802102142,4940.109,0.0034977066412418267,0.011522088063135483,-0.008024381421893656,-0.013210414170000018,0.021965780210214225,0.98678958583,1.0219657802102142,-1.321
2021-10-14,974171.58583,416679.58583,557492.0,6,1016484.316688209,4913.612,-0.012786920515974853,-0.0053636468345130695,-0.007423273681461784,-0.025828414170000036,0.016484316688208933,0.97417158583,1.016484316688209,-2.5828
2021-10-15,968445.58583,416679.58583,551766.0,6,1020310.6045435515,4932.108,-0.005877814630696143,0.0037642369808605913,-0.009642051611556735,-0.031554414170000045,0.02031060454355149,0.96844558583,1.0203106045435515,-3.1554
2021-10-18,961573.33896,523824.33895999996,437749.0,5,1008450.063799047,4874.775,-0.007096162108178983,-0.011624441313937361,0.004528279205758379,-0.03842666104000003,0.008450063799047003,0.96157333896,1.008450063799047,-3.8427
2021-10-19,965238.1028999999,586922.1028999999,378316.0,5,1018369.119275256,4922.723,0.00381121625518821,0.009835941146001614,-0.006024724890813404,-0.034761897100000105,0.018369119275255974,0.9652381028999999,1.018369119275256,-3.4762
2021-10-20,960708.4598999999,637757.4598999999,322951.0,5,1015775.3694304095,4910.185,-0.004692772681052504,-0.002546964352858949,-0.0021458083281935547,-0.03929154010000013,0.01577536943040947,0.9607084598999999,1.0157753694304095,-3.9292
2021-10-21,967892.2621099999,711636.2621099999,256256.0,3,1019464.0880046206,4928.016,0.007477608983216255,0.0036314314022789507,0.0038461775809373044,-0.0321077378900001,0.019464088004620628,0.9678922621099999,1.0194640880046206,-3.2108
2021-10-22,966164.2621099999,711636.2621099999,254528.0,3,1026023.7636969356,4959.725,-0.0017853226724149351,0.006434435277807626,-0.008219757950222562,-0.03383573789000005,0.026023763696935598,0.96616426211,1.0260237636969356,-3.3836
2021-10-25,967474.2621099999,711636.2621099999,255838.0,3,1030119.6045948556,4979.524,0.0013558771022426086,0.0039919551991289826,-0.002636078096886374,-0.03252573789000013,0.03011960459485552,0.9674742621099999,1.0301196045948555,-3.2526
2021-10-26,963412.2621099999,711636.2621099999,251776.0,3,1026721.5399153648,4963.098,-0.004198561304505466,-0.003298708872575218,-0.0008998524319302481,-0.03658773789000014,0.026721539915364856,0.9634122621099999,1.0267215399153649,-3.6588
2021-10-27,953702.2621099999,711636.2621099999,242066.0,3,1013288.5719439759,4898.164,-0.010078758992265513,-0.01308336043334224,0.0030046014410767263,-0.046297737890000135,0.013288571943975924,0.9537022621099999,1.013288571943976,-4.6298
2021-10-28,950125.7573099999,771799.7573099999,178326.0,2,1006249.5759142463,4864.138,-0.003750127206458731,-0.006946684512808998,0.0031965573063502672,-0.04987424269000007,0.0062495759142462415,0.9501257573099999,1.0062495759142462,-4.9874
2021-10-29,948295.7573099999,771799.7573099999,176496.0,2,1015482.6468246942,4908.77,-0.0019260608250228906,0.00917572651104881,-0.0111017873360717,-0.05170424269000007,0.015482646824694246,0.9482957573099999,1.0154826468246942,-5.1704
2021-11-01,955439.7573099999,771799.7573099999,183640.0,2,1011741.3829912238,4890.685,0.007533514670850394,-0.003684222320459063,0.011217736991309457,-0.04456024269000014,0.011741382991223848,0.9554397573099999,1.0117413829912238,-4.456
2021-11-02,954013.7573099999,771799.7573099999,182214.0,2,1001224.2631665181,4839.846,-0.0014925064496110751,-0.010395067357640175,0.0089025609080291,-0.04598624269000007,0.0012242631665180248,0.9540137573099999,1.001224263166518,-4.5986
2021-11-03,953917.7573099999,771799.7573099999,182118.0,2,997348.7399895076,4821.112,-0.0001006274797028528,-0.0038707843183439783,0.0037701568386411255,-0.04608224269000005,-0.002651260010492429,0.95391775731,0.9973487399895076,-4.6082
2021-11-04,955424.65322,246546.65321999998,708878.0,8,1007202.0104560928,4868.742,0.0015796916437005315,0.009879463493069451,-0.00829977184936892,-0.04457534677999997,0.007202010456092811,0.95542465322,1.0072020104560928,-4.4575
2021-11-05,954765.91822,146867.91821999996,807898.0,8,1001741.4409151315,4842.346,-0.0006894682880328462,-0.005421523670796291,0.004732055382763445,-0.04523408177999999,0.0017414409151315091,0.95476591822,1.0017414409151315,-4.5234
2021-11-08,952027.73272,137587.73271999997,814440.0,8,1002948.3269092962,4848.18,-0.002867912906971859,0.0012047879271743778,-0.004072700834146237,-0.047972267280000036,0.0029483269092962505,0.95202773272,1.0029483269092963,-4.7972
2021-11-09,958905.52496,127194.52495999997,831711.0,8,1002651.2600104924,4846.744,0.0072243612277447244,-0.0002961936231742346,0.007520554850918959,-0.04109447504000008,0.002651260010492429,0.9589055249599999,1.0026512600104924,-4.1094
2021-11-10,967154.21332,111607.21331999997,855547.0,8,997365.4965485627,4821.193,0.008602190878339355,-0.0052717865849731815,0.013873977463312537,-0.032845786680000044,-0.002634503451437342,0.96715421332,0.9973654965485627,-3.2846
2021-11-11,990461.91074,96472.91073999996,893989.0,8,1013389.731911605,4898.653,0.024099256456724172,0.016066562778134008,0.008032693678590164,-0.009538089259999993,0.013389731911604974,0.99046191074,1.013389731911605,-0.9538
2021-11-12,976512.7317,87515.73169999996,888997.0,8,1011263.5107515049,4888.375,-0.014083508804067169,-0.002098127791456239,-0.01198538101261093,-0.02348726830000003,0.01126351075150489,0.9765127317,1.011263510751505,-2.3487
2021-11-15,977608.28868,304171.28867999994,673437.0,6,1010022.9047681306,4882.378,0.0011219075230004538,-0.001226788043061422,0.002348695566061876,-0.022391711319999952,0.010022904768130614,0.97760828868,1.0100229047681306,-2.2392
2021-11-16,977488.9286799999,286165.92867999995,691323.0,6,1010217.9842149077,4883.321,-0.00012209389116502045,0.00019314358699795697,-0.0003152374781629774,-0.022511071320000076,0.010217984214907716,0.9774889286799999,1.0102179842149077,-2.2511
2021-11-17,973825.88344,283898.88343999995,689927.0,6,1010721.3015998584,4885.754,-0.0037474033030189258,0.0004982265142923215,-0.004245629817311247,-0.026174116560000016,0.010721301599858402,0.97382588344,1.0107213015998584,-2.6174
2021-11-18,964161.88344,283898.88343999995,680263.0,6,1000763.561228053,4837.619,-0.009923745265285278,-0.009852112898029897,-7.163236725538091e-05,-0.03583811656000002,0.0007635612280529891,0.96416188344,1.000763561228053,-3.5838
2021-11-19,969949.0164999999,369512.0164999999,600437.0,6,1011611.6748118715,4890.058,0.006002242112447043,0.010839836704792383,-0.00483759459234534,-0.030050983500000128,0.01161167481187153,0.9699490164999999,1.0116116748118715,-3.0051
2021-11-22,970633.6480399999,406762.6480399999,563871.0,5,1016233.3820445817,4912.399,0.000705842810656554,0.004568657467866499,-0.0038628146572099453,-0.029366351960000148,0.01623338204458169,0.9706336480399999,1.0162333820445817,-2.9366
