model_id,fold,feature,importance,importance_pct
lightgbm_clf_baseline,1,AMIHUD_20,23019.038738012314,10.727236667321188
lightgbm_clf_baseline,1,STD250,16069.965860843658,7.488858635107684
lightgbm_clf_baseline,1,LOG_CIRC_MV,11042.792232990265,5.146116095444377
lightgbm_clf_baseline,1,MOM_ACC_20_60,10687.47538113594,4.980532814356509
lightgbm_clf_baseline,1,STD120,8913.847767829895,4.1539942527696025
lightgbm_clf_baseline,1,VSTD_60,8722.703625440598,4.064918054744176
lightgbm_clf_baseline,1,MIN_RATIO_120,7096.599667310715,3.3071278532045416
lightgbm_clf_baseline,1,MIN_RATIO_250,6694.586525321007,3.119783361256857
lightgbm_clf_baseline,1,ROC120,6391.9405217170715,2.9787455297457965
lightgbm_clf_baseline,1,MAX_RATIO_120,6351.563399076462,2.959929151032466
lightgbm_clf_baseline,2,AMIHUD_20,17292.949734687805,14.307636829092395
lightgbm_clf_baseline,2,STD250,13497.07286643982,11.167048987684131
lightgbm_clf_baseline,2,LOG_CIRC_MV,7851.678217887878,6.496228935142004
lightgbm_clf_baseline,2,STD120,4736.395095825195,3.918742721736396
lightgbm_clf_baseline,2,MAX_RATIO_120,4324.778904914856,3.5781845715726743
lightgbm_clf_baseline,2,VSTD_60,4259.6534948349,3.524301877754358
lightgbm_clf_baseline,2,ROC250,4156.75599861145,3.4391677607196613
lightgbm_clf_baseline,2,MIN_RATIO_250,4038.764485359192,3.3415453338677494
lightgbm_clf_baseline,2,MOM_ACC_60_120,3825.4469680786133,3.1650532019087905
lightgbm_clf_baseline,2,MOM_ACC_20_60,3740.114658355713,3.094451961748248
lightgbm_clf_baseline,3,AMIHUD_20,10825.837507247925,16.731496411931303
lightgbm_clf_baseline,3,STD250,5974.437089920044,9.23358332936202
lightgbm_clf_baseline,3,LOG_CIRC_MV,4176.137740135193,6.454284351489917
lightgbm_clf_baseline,3,ROC250,2747.7714071273804,4.246722473746652
lightgbm_clf_baseline,3,AMIHUD_20_LN,2463.398916244507,3.8072204668420326
