factor,full_2021_2026_ic,full_2021_2026_icir,full_2021_2026_pos,recent_2025_2026_ic,recent_2025_2026_icir,recent_2025_2026_pos,h1_2026_ic,h1_2026_icir,h1_2026_pos,q3_2026_ic,q3_2026_icir,q3_2026_pos
BOLL_PCT_B,-0.00965,-1.227,0.497,-0.0044,-0.524,0.544,0.0282,3.163,0.716,-0.10769,-14.238,0.148
MAX_RATIO_5,-0.00998,-1.411,0.466,-0.00428,-0.59,0.484,-0.00705,-0.982,0.466,-0.01971,-1.588,0.481
RSI_14,-0.01,-1.246,0.478,-0.00501,-0.571,0.505,0.03623,4.078,0.664,-0.1238,-12.939,0.148
ROC10,-0.01013,-1.335,0.477,-0.00438,-0.522,0.523,0.02386,2.656,0.664,-0.06783,-8.913,0.259
KUP,-0.01048,-1.723,0.477,0.00646,1.014,0.565,0.02375,3.561,0.664,-0.0549,-5.973,0.444
LIMIT_UP_SPACE,-0.01052,-1.758,0.466,0.00049,0.08,0.497,0.00857,1.426,0.534,-0.00609,-0.669,0.556
ALPHA_QUALITY_X_MOMENTUM,-0.01066,-1.52,0.476,-0.004,-0.507,0.518,0.04658,6.402,0.707,-0.15431,-18.554,0.148
MAX_RATIO_250,-0.01131,-1.369,0.468,0.00885,1.209,0.526,-0.05824,-9.781,0.224,0.12561,19.571,0.889
GP_ALPHA_PRICE_RANGE_ACCEL_20,-0.01159,-1.849,0.48,-0.0302,-4.853,0.399,-0.00523,-0.963,0.5,-0.11854,-29.225,0.0
ROC120,-0.01317,-1.499,0.492,-0.00659,-0.811,0.495,0.03951,4.915,0.707,-0.0962,-7.384,0.37
KYLE_LAMBDA_PROXY,-0.01422,-2.316,0.445,0.00649,0.928,0.547,0.00586,0.944,0.586,-0.04745,-7.461,0.37
MA_BULL_ALIGNMENT,-0.01443,-1.91,0.47,-0.01393,-1.716,0.505,0.02115,2.446,0.698,-0.16616,-23.342,0.074
VSTD_10,-0.01445,-3.149,0.408,-0.02328,-5.415,0.339,-0.03806,-9.879,0.284,-0.06861,-21.589,0.037
ROC_STD_20,-0.01518,-1.848,0.463,-0.01106,-1.216,0.497,0.0424,4.86,0.681,-0.18309,-17.302,0.148
WVMA_5,-0.01561,-2.152,0.462,0.00896,1.127,0.588,0.04286,5.002,0.681,-0.08908,-6.344,0.519
ATR_RATIO_14,-0.016,-2.295,0.411,-0.00882,-1.173,0.451,0.05316,8.007,0.672,-0.08389,-7.37,0.259
ROC_STD_60,-0.01603,-1.87,0.481,-0.02404,-2.735,0.495,0.02927,3.241,0.672,-0.2097,-14.327,0.222
KLEN,-0.01714,-2.184,0.465,0.00942,1.101,0.573,0.05605,6.15,0.707,-0.10968,-7.322,0.444
VSTD_60,-0.01732,-2.574,0.439,-0.04242,-6.753,0.324,-0.08773,-15.752,0.129,-0.08796,-27.323,0.037
CORR_PV_5,-0.01824,-3.355,0.429,-0.01822,-3.293,0.422,-0.02137,-4.266,0.371,-0.10061,-19.112,0.185
STD5,-0.01852,-2.398,0.463,0.01087,1.289,0.598,0.04402,4.856,0.672,-0.08254,-5.304,0.519
ALPHA_RESIDUAL_MOMENTUM_20,-0.01866,-2.309,0.463,-0.0156,-1.686,0.5,0.04662,5.43,0.733,-0.18823,-19.153,0.148
ROC20,-0.01871,-2.317,0.458,-0.01646,-1.81,0.492,0.04597,5.36,0.733,-0.17963,-18.582,0.148
DOWNSIDE_VOL_RATIO_20,-0.01884,-2.749,0.435,-0.01407,-1.802,0.466,0.01692,2.304,0.621,-0.16422,-17.662,0.111
WVMA_10,-0.02103,-2.691,0.45,0.00746,0.87,0.606,0.03765,3.913,0.638,-0.10612,-6.511,0.481
VP_DIVERGENCE_10D,-0.02168,-3.602,0.396,-0.01495,-2.274,0.427,-0.02173,-3.861,0.405,-0.10951,-26.35,0.0
ALPHA_MONEY_FLOW_DIV_10,-0.02206,-3.665,0.427,-0.01756,-2.746,0.44,-0.04387,-5.788,0.422,-0.11153,-32.707,0.0
VSTD_20,-0.02235,-4.559,0.366,-0.02909,-6.483,0.339,-0.04545,-11.672,0.259,-0.10664,-36.065,0.0
ROC60,-0.02279,-2.791,0.46,-0.02331,-2.76,0.49,0.03319,3.843,0.741,-0.23459,-18.518,0.185
turnover,-0.02351,-1.768,0.491,0.0322,2.193,0.627,0.04013,2.56,0.638,-0.15348,-7.225,0.481
STD10,-0.02359,-2.718,0.465,0.01201,1.267,0.619,0.0401,3.837,0.647,-0.1067,-5.885,0.444
IS_LIMIT_DOWN_LAG1,-0.02403,-4.045,0.462,-0.02087,-4.122,0.5,-0.03263,-5.512,0.333,,,
ATR_RATIO_5,-0.02427,-2.67,0.457,0.0121,1.233,0.565,0.05966,5.393,0.724,-0.10456,-6.002,0.407
WVMA_20,-0.02526,-3.044,0.446,0.00646,0.706,0.593,0.03585,3.511,0.655,-0.11421,-6.586,0.407
CORR_PV_10,-0.02705,-4.346,0.388,-0.02563,-3.86,0.417,-0.04097,-6.595,0.328,-0.14421,-28.085,0.0
ATR_RATIO_60,-0.02724,-2.799,0.439,0.01884,1.955,0.578,0.03518,3.208,0.621,-0.0636,-4.028,0.481
ROC30,-0.02734,-3.464,0.42,-0.0269,-3.136,0.482,0.03898,5.215,0.741,-0.20725,-20.788,0.111
STD20,-0.02771,-2.99,0.428,0.01339,1.335,0.58,0.03539,3.104,0.621,-0.10969,-6.079,0.407
LOG_CIRC_MV,-0.02774,-2.847,0.411,-0.02981,-3.753,0.391,0.04142,5.649,0.655,-0.07652,-8.978,0.222
log_circ_mv,-0.02776,-2.849,0.41,-0.0298,-3.752,0.391,0.04139,5.647,0.655,-0.07608,-8.937,0.222
STD250,-0.02977,-2.823,0.45,0.02525,2.184,0.583,0.03705,2.768,0.578,-0.08389,-4.762,0.519
CORR_PV_20,-0.03008,-4.622,0.382,-0.02895,-4.129,0.427,-0.04467,-6.568,0.388,-0.14292,-19.443,0.074
ATR_RATIO_20,-0.03018,-3.125,0.432,0.01086,1.056,0.56,0.04855,4.06,0.647,-0.10083,-5.899,0.444
STD120,-0.03064,-2.983,0.451,0.02257,2.106,0.611,0.03294,2.684,0.586,-0.07352,-4.303,0.519
MOM_ACC_20_60,-0.03139,-4.033,0.397,-0.03249,-4.132,0.412,0.02758,3.497,0.612,-0.19919,-16.272,0.185
STD60,-0.03236,-3.283,0.44,0.01627,1.563,0.611,0.03334,2.784,0.612,-0.10826,-6.105,0.481
STD30,-0.03244,-3.425,0.418,0.01035,1.016,0.583,0.03048,2.595,0.603,-0.10716,-6.064,0.444
YANG_ZHANG_VOL_20,-0.03468,-3.585,0.434,0.00514,0.492,0.567,0.04678,3.837,0.629,-0.11349,-6.534,0.407
TURNOVER_STD_20,-0.03698,-4.766,0.399,-0.00618,-0.703,0.534,0.01994,1.971,0.56,-0.12926,-8.371,0.37
