rank_ic,date
-0.06936154218345704,2021-09-30
-0.08434145639847068,2021-10-08
-0.0594276480725855,2021-10-12
-0.04904503722755996,2021-10-13
-0.03858122893842219,2021-10-14
-0.06288455820327447,2021-10-15
-0.10818192477839401,2021-10-18
-0.13521362657139777,2021-10-19
-0.15462407002030676,2021-10-20
-0.18489950808086422,2021-10-22
-0.20866724860234107,2021-10-25
-0.16272436768901682,2021-10-26
-0.1272073686425787,2021-10-27
-0.1400901982946249,2021-10-28
-0.12350175136170706,2021-11-02
-0.09027278380320548,2021-11-03
-0.04609525344615219,2021-11-04
0.033250695091183086,2021-11-05
0.02402034286956158,2021-11-08
0.04907598892525157,2021-11-09
0.010675204342154392,2021-11-10
-0.04198243336639389,2021-11-11
0.08085500585833656,2021-11-12
-0.07944087566281692,2021-11-15
-0.004251443068150695,2021-11-16
-0.03647093044141443,2021-11-17
-0.055971155493616774,2021-11-18
-0.09697739488189039,2021-11-19
-0.0033367786371559104,2021-11-22
-0.012800886293044248,2021-11-23
-0.0061240356079071525,2021-11-24
0.055252651499434126,2021-11-25
0.08692357372576569,2021-11-26
0.012561283929766007,2021-11-29
0.04770090874293517,2021-11-30
0.20311884874965114,2021-12-01
0.14040556887428798,2021-12-03
0.14834041229815428,2021-12-06
0.1660023284878961,2021-12-07
0.1755385460180758,2021-12-08
0.12132273545405266,2021-12-09
0.16685156817763816,2021-12-10
0.1569236215025885,2021-12-13
0.18136346355284114,2021-12-14
0.16331819128742533,2021-12-15
0.1169528716451982,2021-12-16
0.07676792276378962,2021-12-17
0.09293572152282187,2021-12-20
0.04609178741978236,2021-12-21
0.10667752621554716,2021-12-22
0.09114499602566939,2021-12-23
-0.026535146043339168,2021-12-24
0.01894146443075932,2021-12-27
0.035024559578993836,2021-12-28
0.03364496693913945,2021-12-29
0.058409331535706044,2021-12-30
-0.006095798433647582,2021-12-31
-0.01723327922777862,2022-01-04
-0.0569083689017144,2022-01-05
-0.07930178041784758,2022-01-06
-0.09532695927651023,2022-01-07
-0.11780046626480097,2022-01-10
-0.034983324879409965,2022-01-11
-0.017943400623256046,2022-01-12
-0.0009654434747975875,2022-01-13
-0.07020938759606171,2022-01-14
-0.057014761152223384,2022-01-17
0.0010381263606897108,2022-01-18
0.1014240308223846,2022-01-19
0.09730521902988959,2022-01-20
0.07500063645778401,2022-01-21
-0.008924788133617032,2022-01-24
-0.04681217470109293,2022-01-25
-0.07801612554168501,2022-01-26
0.0874453768598454,2022-01-27
0.029718811697582587,2022-01-28
0.1114159160769096,2022-02-07
0.08423408610553124,2022-02-08
0.05087830469171968,2022-02-09
0.034597413295267346,2022-02-10
0.17001833867720353,2022-02-11
0.09002729102530363,2022-02-14
-0.01988975723724149,2022-02-15
0.05826706373626398,2022-02-16
0.04811949382616619,2022-02-17
0.03832749059376096,2022-02-18
0.03071604366738786,2022-02-21
0.03952412280315456,2022-02-22
-0.02791017854326927,2022-02-23
-0.009736039942648163,2022-02-24
0.005720698265630487,2022-02-28
0.013204564364546803,2022-03-01
-0.015877112611062283,2022-03-02
-0.034069628229394654,2022-03-03
-0.05092231382737132,2022-03-04
-0.06364545456671611,2022-03-07
-0.044701103550852876,2022-03-08
-0.05295029599534747,2022-03-09
-0.08671915503538359,2022-03-10
-0.08150935324352154,2022-03-11
-0.12168156573071137,2022-03-14
-0.17211196220741592,2022-03-15
-0.09529768457914145,2022-03-16
-0.08485994726439897,2022-03-21
0.03054508876879153,2022-03-23
0.01477231410026984,2022-03-24
-0.10874266828002263,2022-03-25
0.0023973341844443982,2022-03-28
-0.06216427299037283,2022-03-29
-0.03805426022785421,2022-03-30
-0.0835917959229043,2022-03-31
0.00903743708965065,2022-04-01
-0.015990202556981224,2022-04-06
0.10609361576545467,2022-04-07
