,lightgbm_clf_baseline,double_ensemble,lightgbm_ranker,lightgbm_reg_baseline
2023-07-03,0.2735395028373237,0.27999433002635704,0.1937807003289323,0.21187380890753416
2023-07-04,0.3087391438481028,0.2984608099836503,0.2603641790867474,0.2386934671012323
2023-07-05,0.31354310840875305,0.301489186787291,0.24144459967227294,0.21308388857525365
2023-07-06,0.3508960707507924,0.2998100231625222,0.25708929817878784,0.23134307367499896
2023-07-07,0.2597997513251751,0.24328066638316967,0.15467636192285078,0.16108764674075818
2023-07-10,0.18777711531994384,0.19540355743017515,0.11241326125616431,0.15332395934352394
2023-07-11,0.2374237191638231,0.24405453178422593,0.15151514433042096,0.20963304554753798
2023-07-12,0.23032293024051156,0.22834524394094535,0.12870357715108519,0.17823054252752044
2023-07-13,0.279813666810054,0.2782907995668757,0.2071882849191569,0.22742079106767119
2023-07-14,0.3184811194581112,0.30490289404882454,0.26210810393123546,0.2446578667786654
2023-07-17,0.27151520534094903,0.245151480235623,0.19704274669497035,0.24380314003177253
2023-07-18,0.2750815672123179,0.22985993692680345,0.16716976560829533,0.24851054154490224
2023-07-19,0.30783012883889466,0.2690913569778769,0.22007238675367644,0.2951117776696623
2023-07-20,0.2411586290390375,0.19798154873359836,0.1397968365079089,0.21342495103334477
2023-07-21,0.266573335701665,0.18898239386502752,0.16781321949920344,0.2592958362273569
2023-07-24,0.2611406464471862,0.19569336653829117,0.14696328494403896,0.19616770646204265
2023-07-25,0.16065869863104948,0.12484320511073631,0.08771619409983926,0.11925346665494341
2023-07-26,0.22719745977672084,0.13523613246050945,0.13250574149740016,0.15656589713155114
2023-07-27,0.09527147225481016,0.0736222644445013,0.06877476482402962,0.0981754576929934
2023-07-28,0.15538625877446643,0.1245744014509148,0.10343054560221371,0.09077312682688403
2023-07-31,0.06902506674083714,0.08456911223514357,0.07688648604088115,0.07240424910857039
2023-08-01,0.0018484675003117327,0.03209471520360451,0.03347701930784045,0.06016831490405664
2023-08-02,-0.030265876391784387,-0.019018482335673624,0.012802054558082322,0.03735713358559496
2023-08-03,-0.017220264193629816,0.009813306907737903,0.09052371115230558,0.03923431385733564
2023-08-04,0.07582011274505222,0.05125365767012258,0.08269194379577073,0.07010322736415
2023-08-07,0.07773055135255244,0.059673104636532116,0.08522023171868835,0.08045509742009793
2023-08-08,0.12291289146210559,0.11576814628660619,0.12791458733306837,0.10155715139194339
2023-08-09,0.07452977721902736,0.106687362249079,0.12234540115283549,0.055681732796601616
2023-08-10,0.06654774959859705,0.09398427703512448,0.09799326024612105,0.008125573963188491
2023-08-11,0.050664460762511014,0.080861764791961,0.11970533126793843,-0.002150473541079464
2023-08-14,0.03190773510861265,0.06343396368285584,0.11329697224081707,0.04273255921268909
2023-08-15,0.06061624027725722,0.09311576599712192,0.1558938122578017,0.03274203613298967
2023-08-16,0.08249516812429711,0.11221983475377134,0.20456915912961096,0.05470150393768281
2023-08-17,0.11829658452326648,0.13876863184130628,0.22573075854903984,0.06892062712068535
2023-08-18,0.09676912236995792,0.12755431723425673,0.22156941783173859,0.04781924350561525
2023-08-21,0.0853887113679993,0.10780298673970191,0.1939156533044195,0.056713636491192286
2023-08-22,0.11710925100755609,0.1687072670607325,0.2075335112915165,0.10405529200425617
2023-08-23,0.06513277530226683,0.12422648940770593,0.1680904211467594,0.05557972656283233
2023-08-24,0.14170434400370224,0.19681091465230693,0.19697061942565713,0.18609870096381828
2023-08-25,0.08734019073002122,0.1436467616260586,0.11673993617043373,0.07664958803473755
2023-08-28,0.10133036827069403,0.11868874699555032,0.11719098661887042,0.06438898712611409
2023-08-29,0.11647729145951424,0.16263315448728713,0.1474779502481551,0.0694347868588855
2023-08-30,0.12474106892394045,0.15123341219111006,0.1254351087958529,0.07742708813322163
2023-08-31,0.09808335033803757,0.14840470523350208,0.12894791728496915,0.09094756982402459
2023-09-01,0.12290966669189766,0.16419373862161202,0.15434718306686426,0.09538485279343036
2023-09-04,0.15482694483109985,0.19759956273660984,0.19986835819065923,0.13114760925378968
2023-09-05,0.01784964235129087,0.10214885283532937,0.06630692192445355,0.035924317303648486
2023-09-06,0.03001408381460444,0.08103945572061792,0.08501333828134675,0.05694900635646305
2023-09-07,0.04996763903790785,0.14348132533319147,0.10977566975993222,0.09914113313672668
2023-09-08,0.05608540009721742,0.1338636636005791,0.10672648935354065,0.07353313559287925
2023-09-11,0.05729053518965006,0.15279101810281734,0.11488097462153127,0.07844521087967651
2023-09-12,0.039771072943751005,0.15313215288437135,0.11129611918012858,0.09721727373681084
2023-09-13,-0.03162596143056936,0.0731680570025044,0.04545768454618392,0.05758475073905261
2023-09-14,-0.04190048599872104,0.02896603308602527,0.04315690075376372,0.057466119984974195
2023-09-15,-0.015585546525979044,0.043865370115579796,0.049234488017611565,0.01667580336990569
2023-09-18,-0.002892879142362689,0.08282690427255943,0.04888282632356449,0.05352843536962092
2023-09-19,0.020910213512944194,0.12989726164467896,0.06626927343672405,0.05520190629437839
2023-09-20,0.054055248352917924,0.13565089079104872,0.07526535804151181,0.08495098461212837
2023-09-21,0.05790939995900987,0.10142076993258001,0.0809654994514797,0.10764163505642561
2023-09-22,0.11124581187312317,0.1513481473803923,0.12038842902943207,0.08544550822525541
2023-09-25,0.07474382492619955,0.1141810156701062,0.09134599701322757,0.057178182145640834
2023-09-26,0.08719888254909827,0.13168587655896846,0.09983210471559803,0.07951559230280864
2023-09-27,0.10237237347010977,0.16032914582484892,0.14022252313971492,0.10331072202076208
2023-09-28,0.07045819667883292,0.12017571510786265,0.09018924615605557,0.05262041899144862
2023-10-09,0.054575827727508824,0.07486510868602006,0.06425732796373435,0.07310658138663206
2023-10-10,0.02996408738899657,0.05572825473313186,0.08111394341654636,0.060776124613483654
2023-10-11,0.033378673111802176,0.06537193740457076,0.06975951644031743,0.09278482384037395
2023-10-12,0.0031269098730581984,0.04804258440741506,0.06914289496508774,0.049130052355485475
2023-10-13,-0.05382941547899436,-0.039525726098932415,-0.006798456811700989,-0.01712858277887275
2023-10-16,-0.0018471048378001422,-0.04514124675497309,-0.052894303347751824,0.007929297186044628
2023-10-17,-0.002720842893309806,-0.033483991177418244,-0.04826866192255583,-0.0008034305660750034
2023-10-18,0.02713056279886063,-0.035534470811698624,-0.038813703065739696,0.01741965604792789
2023-10-19,0.04713570441456432,-0.014998621248477319,-0.017892417383259755,0.0095006055542584
2023-10-20,0.008756625183737975,-0.046834204552325356,-0.059748880686186764,0.0003270526101283974
2023-10-23,0.14036262589498466,0.05586114164176413,0.034278102717046025,0.09933390186472354
2023-10-24,0.10318911186466413,0.043489269106958356,0.03732868621864509,0.0637111893792398
2023-10-25,0.07664433265366574,0.026431165166782556,0.05074661937702711,0.08818046513972713
2023-10-26,0.05788455176351823,0.011752756055191268,0.030794561195620556,0.06977200645865245
