model_id,fold,rank,feature
lightgbm_clf_baseline,2,45,ROC_STD_20
lightgbm_clf_baseline,2,46,ROC_STD_60
lightgbm_clf_baseline,2,47,ROC_STD_120
lightgbm_clf_baseline,2,48,ROC_STD_250
lightgbm_clf_baseline,2,49,MOM_ACC_20_60
lightgbm_clf_baseline,2,50,MOM_ACC_60_120
lightgbm_clf_baseline,2,51,VMA_RATIO_5
lightgbm_clf_baseline,2,52,VSTD_5
lightgbm_clf_baseline,2,53,VMA_RATIO_10
lightgbm_clf_baseline,2,54,VSTD_10
lightgbm_clf_baseline,2,55,VMA_RATIO_20
lightgbm_clf_baseline,2,56,VSTD_20
lightgbm_clf_baseline,2,57,VMA_RATIO_60
lightgbm_clf_baseline,2,58,VSTD_60
lightgbm_clf_baseline,2,59,CORR_PV_5
lightgbm_clf_baseline,2,60,WVMA_5
lightgbm_clf_baseline,2,61,CORR_PV_10
lightgbm_clf_baseline,2,62,WVMA_10
lightgbm_clf_baseline,2,63,CORR_PV_20
lightgbm_clf_baseline,2,64,WVMA_20
lightgbm_clf_baseline,2,65,TURNOVER_SURGE_5
lightgbm_clf_baseline,2,66,TURNOVER_SURGE_20
lightgbm_clf_baseline,2,67,TURNOVER_STD_20
lightgbm_clf_baseline,2,68,AMOUNT_RATIO_5_20
lightgbm_clf_baseline,2,69,LIMIT_UP_SPACE
lightgbm_clf_baseline,2,70,IS_LIMIT_UP_LAG1
lightgbm_clf_baseline,2,71,IS_LIMIT_DOWN_LAG1
lightgbm_clf_baseline,2,72,UPPER_SHADOW_RATIO
lightgbm_clf_baseline,2,73,LOWER_SHADOW_RATIO
lightgbm_clf_baseline,2,74,ENTITY_RATIO
lightgbm_clf_baseline,2,75,INTRADAY_CLOSE_LOC
lightgbm_clf_baseline,2,76,LOG_CIRC_MV
lightgbm_clf_baseline,2,77,EFFICIENCY_RATIO_10
lightgbm_clf_baseline,2,78,AMIHUD_20
lightgbm_clf_baseline,2,79,AMIHUD_20_LN
lightgbm_clf_baseline,3,1,KMID
lightgbm_clf_baseline,3,2,KLEN
lightgbm_clf_baseline,3,3,KMID2
lightgbm_clf_baseline,3,4,KUP
lightgbm_clf_baseline,3,5,KLOW
lightgbm_clf_baseline,3,6,KSFT
lightgbm_clf_baseline,3,7,ROC5
lightgbm_clf_baseline,3,8,MAX_RATIO_5
lightgbm_clf_baseline,3,9,MIN_RATIO_5
lightgbm_clf_baseline,3,10,MA_RATIO_5
lightgbm_clf_baseline,3,11,ROC10
lightgbm_clf_baseline,3,12,MAX_RATIO_10
lightgbm_clf_baseline,3,13,MIN_RATIO_10
lightgbm_clf_baseline,3,14,MA_RATIO_10
lightgbm_clf_baseline,3,15,ROC20
