fold,test_start,test_end,common_rankic_dates,valid_comparison,legacy_mean_rankic,execution_mean_rankic,execution_minus_legacy,execution_wins
1,2023-07-03,2023-08-25,40,True,0.15424576831876533,0.15986328823498228,0.005617519916216951,True
2,2023-08-28,2023-10-30,40,True,0.03279531707653135,0.030208714193414355,-0.002586602883116993,False
3,2023-10-31,2023-12-25,40,True,0.13270569542296298,0.11803749006145252,-0.014668205361510464,False
4,2023-12-26,2024-02-28,40,True,0.03818128321407873,0.03938675794471318,0.0012054747306344468,True
5,2024-02-29,2024-04-26,40,True,0.1083816372319173,0.08634502896307132,-0.022036608268845972,False
6,2024-04-29,2024-06-27,40,True,0.11035373472453276,0.11210400404978146,0.0017502693252487017,True
7,2024-06-28,2024-08-22,40,True,0.14392595313594467,0.11349434504186533,-0.03043160809407934,False
8,2024-08-23,2024-10-28,40,True,-0.06361543172815624,-0.06051869876634196,0.003096732961814286,True
9,2024-10-29,2024-12-23,40,True,0.20374955979832085,0.19975768685959958,-0.003991872938721275,False
10,2024-12-24,2025-02-26,40,True,-0.014597665365149184,-0.011148387200806376,0.0034492781643428085,True
11,2025-02-27,2025-04-24,40,True,0.14425939823359152,0.14164648435330282,-0.0026129138802886975,False
12,2025-04-25,2025-06-25,40,True,-0.041399190578848846,-0.0489860709509853,-0.007586880372136451,False
13,2025-06-26,2025-08-20,40,True,-0.09549352498355065,-0.09792378662485274,-0.002430261641302084,False
14,2025-08-21,2025-10-23,40,True,-0.019336443002495943,0.017653498514798423,0.036989941517294365,True
15,2025-10-24,2025-12-18,40,True,0.043206695955590416,0.04455656435824977,0.0013498684026593544,True
16,2025-12-19,2026-02-24,40,True,-0.013398020848392995,-0.005278551367567312,0.008119469480825682,True
17,2026-02-25,2026-04-22,40,True,-0.02755492990201904,-0.030331237607135565,-0.002776307705116523,False
18,2026-04-23,2026-06-23,40,True,-0.06321895416911946,-0.08156471702515711,-0.018345762856037645,False
19,2026-06-24,2026-08-18,23,True,0.11565080576859597,0.14623634884928338,0.030585543080687408,True
20,2026-08-19,2026-08-24,0,False,,,,False
