arm,mean_daily_rank_ic,nw20_rank_icir,rank_ic_positive_rate,q5_minus_q1_annualized_pct_points,monotonicity_score,top10_mean_20d_exec_alpha,oos_rows,oos_dates,feature_count,feature_schema_hash,seed
legacy_label,0.04520538874032012,0.3483908956659062,0.6029609690444145,3.31,0.7,0.003899904774417886,220913,743,79,82dfd3e9643ae1352829e736b9c8b89d1d648b98d16ef59153f261bf7a453460,42
execution_aligned_label,0.043681739629648594,0.3520146818106218,0.6002691790040376,5.16,0.4,0.00505375020998491,220913,743,79,82dfd3e9643ae1352829e736b9c8b89d1d648b98d16ef59153f261bf7a453460,42
