,legacy_rankic,execution_rankic,execution_minus_legacy
2023-07-03,0.29397150523058524,0.284112857236344,-0.009858647994241243
2023-07-04,0.3357806613254556,0.31833415913319063,-0.017446502192264957
2023-07-05,0.30233903914291327,0.3074532332401583,0.005114194097245006
2023-07-06,0.3134462030345808,0.3099381117540924,-0.0035080912804884012
2023-07-07,0.22250182562166823,0.23042786915916622,0.007926043537497984
2023-07-10,0.16223983202289957,0.1675134235387843,0.005273591515884718
2023-07-11,0.22260603737601323,0.2353651126048221,0.01275907522880887
2023-07-12,0.21334035419105504,0.2271160997218901,0.013775745530835048
2023-07-13,0.28445668809734603,0.2893434761823148,0.004886788084968785
2023-07-14,0.31575597833681807,0.3224580492454119,0.006702070908593816
2023-07-17,0.24312135021294515,0.26624066241109284,0.023119312198147696
2023-07-18,0.28121289743565775,0.3004882698038049,0.019275372368147137
2023-07-19,0.3112735703534735,0.33129049145998307,0.020016921106509544
2023-07-20,0.21271631988889592,0.24287308571011115,0.030156765821215237
2023-07-21,0.2543691044901699,0.26620640010470525,0.011837295614535337
2023-07-24,0.2739568476474799,0.2801524536495692,0.006195606002089293
2023-07-25,0.19306073287330958,0.1990487953117325,0.005988062438422925
2023-07-26,0.2097677566174345,0.2203009129335363,0.0105331563161018
2023-07-27,0.11861697049288303,0.14297191458252584,0.02435494408964281
2023-07-28,0.09123256657266364,0.09696448861059478,0.005731922037931145
2023-07-31,0.09279123467985455,0.08979638580122844,-0.0029948488786261107
2023-08-01,0.00020567095591887685,-0.014648913835322002,-0.014854584791240879
2023-08-02,-0.03624786572586264,-0.04270990617549206,-0.006462040449629419
2023-08-03,-0.011247394056110764,-0.011861134742490679,-0.0006137406863799145
2023-08-04,0.036806453580650544,0.02749797308935847,-0.009308480491292074
2023-08-07,0.08747417427804839,0.0723732553030374,-0.015100918975010993
2023-08-08,0.11170292017749645,0.10086851103800255,-0.010834409139493892
2023-08-09,0.07356528730115433,0.07382255550383406,0.00025726820267972517
2023-08-10,0.05309463232754444,0.06406091701738512,0.010966284689840677
2023-08-11,0.035693182717320235,0.026185365420291547,-0.009507817297028688
2023-08-14,0.03869709462929802,0.04189628765899952,0.003199193029701501
2023-08-15,0.05705197382112201,0.04969577239363114,-0.007356201427490869
2023-08-16,0.07128499840364245,0.06847078203010407,-0.002814216373538389
2023-08-17,0.11254135491423625,0.12637830434440603,0.013836949430169776
2023-08-18,0.07472966896746591,0.08865222178868702,0.01392255282122111
2023-08-21,0.09813762829284645,0.11493594438936823,0.016798316096521784
2023-08-22,0.10410657190318205,0.11536204926035433,0.011255477357172278
2023-08-23,0.08430387243946566,0.10544195967924781,0.021138087239782152
2023-08-24,0.11722242485173953,0.13644465837185948,0.019222233520119952
2023-08-25,0.11215060732735205,0.12326867466896974,0.011118067341617688
2023-08-28,0.08057259751551345,0.09002882236419514,0.009456224848681694
2023-08-29,0.10681739678447248,0.10180367620401824,-0.0050137205804542395
2023-08-30,0.07802303336226057,0.07513689062920689,-0.0028861427330536815
2023-08-31,0.0884319706955001,0.09391722720436102,0.0054852565088609195
2023-09-01,0.10201951975313438,0.09707107588532986,-0.0049484438678045195
2023-09-04,0.11822362640192588,0.10332430464341796,-0.014899321758507916
2023-09-05,-0.03799724662997923,-0.055788325670048426,-0.0177910790400692
2023-09-06,0.03141030453531031,0.024173028578517268,-0.007237275956793042
2023-09-07,0.014512973818923853,0.008107183621277374,-0.006405790197646479
2023-09-08,0.02028507941127729,0.02233398016698514,0.00204890075570785
2023-09-11,0.06355910538252553,0.05644330180140136,-0.0071158035811241666
2023-09-12,0.018438625656314257,0.009652646322431162,-0.008785979333883094
2023-09-13,-0.03745682456699282,-0.04205872887745792,-0.004601904310465102
2023-09-14,-0.03840399302507365,-0.050274880200820285,-0.011870887175746636
2023-09-15,-0.05224857472970049,-0.05963069061235553,-0.007382115882655041
2023-09-18,-0.03984788323447911,-0.04629624595488253,-0.006448362720403417
2023-09-19,0.025745325793589468,0.018717185004969224,-0.007028140788620244
2023-09-20,0.011839423053120083,0.01946677481798628,0.007627351764866196
2023-09-21,0.04630249257491162,0.051406212494978315,0.005103719920066696
2023-09-22,0.0700280484677342,0.07728754300767032,0.007259494539936129
2023-09-25,0.030567246113736103,0.04121194566182801,0.010644699548091906
2023-09-26,0.028960936548367112,0.02787726415289701,-0.001083672395470102
2023-09-27,0.08035046761134851,0.07325662410368322,-0.007093843507665287
2023-09-28,0.046533133271923995,0.03183322365121965,-0.014699909620704346
2023-10-09,0.054839165145831655,0.04887575749282233,-0.005963407653009324
2023-10-10,0.053154670818775666,0.04745739265700212,-0.005697278161773546
2023-10-11,0.039712616760892244,0.04330811362951885,0.0035954968686266048
2023-10-12,-0.024528355686580926,-0.03060994410934764,-0.006081588422766713
2023-10-13,-0.05523333343639592,-0.0626499197431602,-0.0074165863067642765
2023-10-16,-0.00635710596741631,-0.00944370455958656,-0.0030865985921702498
2023-10-17,-0.05770773619281336,-0.05312765170470616,0.004580084488107199
2023-10-18,0.018910538693498995,0.014069363834857353,-0.004841174858641642
2023-10-19,0.02157023535631887,0.023497498851715263,0.0019272634953963926
2023-10-20,0.011716119764782582,0.01954244012998218,0.007826320365199597
2023-10-23,0.1211968041554682,0.12767323325611302,0.006476429100644818
